ItemID,Syllable,Freq,Pingyin,Tone
1,a5,143836,a,T0
2,ai1,34794,ai,T1
3,ai2,16044,ai,T2
4,ai3,7909,ai,T3
5,ai4,154839,ai,T4
6,an1,188449,an,T1
7,an3,2671,an,T3
8,an4,227391,an,T4
9,ang1,1499,aN,T1
10,ang2,7637,aN,T2
11,ang4,1131,aN,T4
12,ao1,2273,au,T1
13,ao2,3924,au,T2
14,ao3,1057,au,T3
15,ao4,53201,au,T4
16,ba1,82762,pa,T1
17,ba2,108689,pa,T2
18,ba3,1411,pa,T3
19,ba4,380447,pa,T4
20,ba5,106028,pa,T0
21,bai2,148728,pai,T2
22,bai3,139693,pai,T3
23,bai4,60605,pai,T4
24,ban1,124251,pan,T1
25,ban3,78185,pan,T3
26,ban4,226789,pan,T4
27,bang1,64218,paN,T1
28,bang3,7570,paN,T3
29,bang4,15469,paN,T4
30,bao1,108942,pau,T1
31,bao2,15150,pau,T2
32,bao3,227852,pau,T3
33,bao4,268590,pau,T4
34,bei1,51649,pi,T1
35,bei3,136939,pi,T3
36,bei4,481504,pi,T4
37,ben3,388118,pn,T3
38,ben4,23701,pn,T4
39,beng1,5658,pN,T1
40,beng2,1146,pN,T2
41,beng4,5628,pN,T4
42,bi1,12623,pi,T1
43,bi2,17773,pi,T2
44,bi3,59136,pi,T3
45,bi4,331746,pi,T4
46,bian1,45055,pian,T1
47,bian3,14530,pian,T3
48,bian4,402035,pian,T4
49,bian5,136277,pian,T0
50,biao1,93254,piau,T1
51,biao3,226768,piau,T3
52,bie1,1588,pi,T1
53,bie4,186634,pi,T4
54,bin1,25234,pin,T1
55,bing1,134183,piN,T1
56,bing3,18672,piN,T3
57,bing4,380308,piN,T4
58,bo1,104184,p,T1
59,bo2,114747,p,T2
60,bo5,7301,p,T0
61,bu2,2237915,pu,T2
62,bu3,55244,pu,T3
63,bu4,650809,pu,T4
64,ca1,15954,tsha,T1
65,cai1,11875,tshai,T1
66,cai2,293917,tshai,T2
67,cai3,27717,tshai,T3
68,cai4,93787,tshai,T4
69,can1,95304,tshan,T1
