ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII,logRT
1,8,6,876,1,1250,1,zhvn1,Zyn1,7.13089883029635
1,1,1,107,0,521,1,zhvn1,Zyn1,6.25575004175337
1,2,10,1451,0,745,1,zhvn1,Zyn1,6.61338421837956
1,22,1,96,1,3127,1,zhvn1,Zyn1,8.04782935745784
2,22,6,910,0,1735,1,tvi3,Tyei3,7.45876269238096
2,2,1,17,0,1702,1,tvi3,Tyei3,7.43955930913332
2,20,7,969,1,239,1,tvi3,Tyei3,5.47646355193151
2,8,5,769,1,1549,1,tvi3,Tyei3,7.34536484041687
2,1,8,1210,0,514,1,tvi3,Tyei3,6.24222326545517
3,22,2,200,0,3230,1,mvn4,myn4,8.0802374162167
3,2,9,1373,0,995,1,mvn4,myn4,6.90274273715859
3,8,9,1439,1,775,1,mvn4,myn4,6.65286302935335
3,1,8,1274,0,1035,1,mvn4,myn4,6.94215670569947
3,20,1,104,1,483,1,mvn4,myn4,6.18001665365257
4,8,4,578,1,1972,1,niong3,nioN3,7.58680353516258
4,2,6,906,0,670,1,niong3,nioN3,6.50727771238501
4,1,1,35,0,1395,1,niong3,nioN3,7.24064969425547
4,22,4,634,0,2072,1,niong3,nioN3,7.63626960337937
5,22,6,874,0,2645,1,shia2,Sia2,7.8804263442924
5,1,2,192,0,966,1,shia2,Sia2,6.87316383421252
5,2,3,420,0,2352,1,shia2,Sia2,7.76302130901852
5,8,8,1171,1,772,1,shia2,Sia2,6.64898455002478
6,1,5,760,0,821,1,qua4,qua4,6.71052310945243
6,2,8,1189,0,1029,1,qua4,qua4,6.93634273583405
6,8,6,919,1,839,1,qua4,qua4,6.73221070646721
6,22,7,1102,0,2061,1,qua4,qua4,7.63094658089046
7,2,4,539,0,3332,1,mue3,mu^3,8.11132800328673
7,22,2,315,0,1873,1,mue3,mu^3,7.53529670244409
7,1,7,1062,0,839,1,mue3,mu^3,6.73221070646721
7,8,6,959,0,843,1,mue3,mu^3,6.73696695800186
8,22,2,296,0,2089,1,tv1,Ty1,7.64444076155657
8,8,8,1275,1,554,1,tv1,Ty1,6.31716468674728
8,2,6,816,0,786,1,tv1,Ty1,6.66695679242921
8,1,5,675,0,1000,1,tv1,Ty1,6.90775527898214
9,2,6,805,0,768,1,niong2,nioN2,6.64378973314767
9,1,10,1535,0,1107,1,niong2,nioN2,7.00940893270864
9,8,6,927,1,1245,1,niong2,nioN2,7.12689080889881
9,22,6,867,0,2577,1,niong2,nioN2,7.85438121065236
10,1,1,6,0,1362,1,qvai3,qyai3,7.21670948670946
10,8,10,1572,0,394,1,qvai3,qyai3,5.97635090929793
10,22,8,1124,0,1021,1,qvai3,qyai3,6.92853781816467
10,2,6,864,0,1578,1,qvai3,qyai3,7.36391350140582
11,2,5,652,0,1417,1,puo1,Puo1,7.25629723969068
11,1,7,1020,0,631,1,puo1,Puo1,6.44730586254121
11,8,4,607,0,1166,1,puo1,Puo1,7.06133436691044
11,20,1,29,1,1073,1,puo1,Puo1,6.9782137426307
11,22,8,1267,0,478,1,puo1,Puo1,6.16961073249146
12,8,6,843,1,1174,1,zio3,cio3,7.06817200038804
12,20,6,865,1,264,1,zio3,cio3,5.57594910314632
12,1,8,1203,0,562,1,zio3,cio3,6.33150184989369
12,2,10,1480,0,908,1,zio3,cio3,6.81124437860129
12,22,10,1467,0,1246,1,zio3,cio3,7.1276936993474
13,1,7,976,0,514,1,qvo4,qyo4,6.24222326545517
13,2,6,811,0,890,1,qvo4,qyo4,6.79122146272619
13,8,2,305,0,2688,1,qvo4,qyo4,7.89655270164304
13,22,5,750,0,1833,1,qvo4,qyo4,7.5137092478397
14,22,1,140,0,2217,1,mv4,my4,7.70391020961631
14,8,9,1289,0,701,1,mv4,my4,6.55250788703459
14,1,8,1212,0,647,1,mv4,my4,6.4723462945009
14,2,8,1174,0,622,1,mv4,my4,6.43294009273918
15,1,5,739,0,440,1,yei4,iei4,6.08677472691231
15,22,2,234,1,2564,1,yei4,iei4,7.84932381804056
15,2,1,25,1,1366,1,yei4,iei4,7.21964204013074
15,8,4,627,0,2144,1,yei4,iei4,7.67042852219069
16,2,4,595,0,1759,1,kvo3,Kyo3,7.47250074473756
16,1,10,1510,0,349,1,kvo3,Kyo3,5.85507192220243
16,8,6,923,0,607,1,kvo3,Kyo3,6.4085287910595
16,22,8,1263,0,1278,1,kvo3,Kyo3,7.15305163493748
17,2,9,1323,0,781,1,sin3,sin3,6.66057514983969
17,1,10,1520,0,448,1,sin3,sin3,6.10479323241498
17,8,2,199,0,2107,1,sin3,sin3,7.65302041380419
17,22,1,35,0,1797,1,sin3,sin3,7.49387388678356
18,1,8,1148,0,880,1,biu2,piou2,6.77992190747225
18,22,9,1341,0,1461,1,biu2,piou2,7.2868764117507
18,2,10,1515,0,1551,1,biu2,piou2,7.34665516317654
18,8,9,1379,1,491,1,biu2,piou2,6.19644412779452
19,2,2,216,1,2422,1,mio3,mio3,7.79234892411304
19,22,1,103,0,2324,1,mio3,mio3,7.7510451179718
19,8,10,1556,0,647,1,mio3,mio3,6.4723462945009
19,1,1,86,0,889,1,mio3,mio3,6.7900972355139
20,8,6,934,0,619,1,quao1,quau1,6.4281052726846
20,2,9,1331,0,1792,1,quao1,quau1,7.49108759353488
20,22,8,1191,0,896,1,quao1,quau1,6.79794041297493
20,1,6,956,0,711,1,quao1,quau1,6.56667242980324
21,1,2,173,0,894,1,zhuai2,Zuai2,6.79570577517351
21,20,10,1489,1,401,1,zhuai2,Zuai2,5.99396142730657
21,22,8,1182,1,2753,1,zhuai2,Zuai2,7.92044650514261
21,8,3,421,0,1306,1,zhuai2,Zuai2,7.17472430983638
22,2,4,594,0,2453,1,mui4,mui4,7.80506704425849
22,8,3,400,0,2560,1,mui4,mui4,7.84776253747361
22,20,4,537,1,494,1,mui4,mui4,6.20253551718792
22,1,5,649,0,414,1,mui4,mui4,6.02586597382531
22,22,1,78,0,2315,1,mui4,mui4,7.74716496652033
23,8,2,216,1,2072,1,rvi2,ryei2,7.63626960337937
23,2,1,137,1,1354,1,rvi2,ryei2,7.21081845347222
23,22,4,613,1,1949,1,rvi2,ryei2,7.57507169950756
23,20,1,113,1,343,1,rvi2,ryei2,5.83773044716594
23,1,1,38,0,1824,1,rvi2,ryei2,7.50878717063428
24,22,10,1452,0,752,1,kiong1,KioN1,6.62273632394984
24,1,5,741,0,1236,1,kiong1,KioN1,7.11963563801764
24,20,6,849,1,232,1,kiong1,KioN1,5.44673737166631
24,2,2,210,1,1809,1,kiong1,KioN1,7.50052948539529
24,8,6,825,0,998,1,kiong1,KioN1,6.90575327631146
25,22,7,1062,0,1773,1,cvao4,Cyau4,7.48042830607421
25,1,6,884,0,573,1,cvao4,Cyau4,6.35088571671474
25,8,8,1215,1,440,1,cvao4,Cyau4,6.08677472691231
25,2,9,1370,0,1528,1,cvao4,Cyau4,7.33171496972647
26,2,10,1565,0,2107,1,zue3,cu^3,7.65302041380419
26,22,4,575,0,2978,1,zue3,cu^3,7.99900721324395
26,1,1,73,0,1190,1,zue3,cu^3,7.08170858610557
26,8,9,1369,1,545,1,zue3,cu^3,6.30078579466324
27,22,3,448,0,3365,1,ci3,Ci3,8.12118324207883
27,2,2,233,1,1807,1,ci3,Ci3,7.49942329059223
27,8,7,1060,1,797,1,ci3,Ci3,6.68085467879022
27,1,2,257,0,1036,1,ci3,Ci3,6.94312242281943
28,8,2,200,0,1490,1,puang4,PuaN4,7.30653139893951
28,1,2,301,0,1965,1,puang4,PuaN4,7.58324752430336
28,22,2,186,1,2543,1,puang4,PuaN4,7.84109976542212
28,2,10,1470,0,759,1,puang4,PuaN4,6.63200177739563
29,2,4,494,0,1866,1,din1,tin1,7.53155238140729
29,8,2,249,1,1317,1,din1,tin1,7.18311170174328
29,1,4,548,1,1364,1,din1,tin1,7.21817683840341
29,22,8,1215,1,1171,1,din1,tin1,7.06561336359772
30,2,8,1195,0,794,1,tuai2,Tuai2,6.67708346124714
30,1,5,685,0,1124,1,tuai2,Tuai2,7.02464903045364
30,8,10,1493,1,868,1,tuai2,Tuai2,6.76619171466035
30,22,7,1019,0,2090,1,tuai2,Tuai2,7.64491934495886
31,1,7,1038,1,1211,1,ne2,n^2,7.09920174355309
31,8,8,1132,1,1446,1,ne2,n^2,7.27655640271871
31,22,2,231,0,1504,1,ne2,n^2,7.31588350450979
31,2,6,819,0,675,1,ne2,n^2,6.51471269087253
32,2,1,139,1,1071,1,jie1,ji^1,6.97634807044775
32,8,5,767,0,1168,1,jie1,ji^1,7.06304816338817
32,22,10,1511,0,753,1,jie1,ji^1,6.62406522779989
32,20,10,1582,1,236,1,jie1,ji^1,5.46383180502561
32,1,6,838,0,514,1,jie1,ji^1,6.24222326545517
33,2,4,530,0,746,1,fve2,fye2,6.61472560020376
33,22,5,693,0,2848,1,fve2,fye2,7.95437227253187
33,8,5,648,0,825,1,fve2,fye2,6.71538338633468
33,1,8,1141,0,554,1,fve2,fye2,6.31716468674728
