ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII
1,20,6,932,1,15,1,zhvn1,Zyn1
1,8,6,876,1,1250,1,zhvn1,Zyn1
1,1,1,107,0,521,1,zhvn1,Zyn1
1,2,10,1451,0,745,1,zhvn1,Zyn1
1,22,1,96,1,3127,1,zhvn1,Zyn1
2,22,6,910,0,1735,1,tvi3,Tyei3
2,2,1,17,0,1702,1,tvi3,Tyei3
2,20,7,969,1,239,1,tvi3,Tyei3
2,8,5,769,1,1549,1,tvi3,Tyei3
2,1,8,1210,0,514,1,tvi3,Tyei3
3,22,2,200,0,3230,1,mvn4,myn4
3,2,9,1373,0,995,1,mvn4,myn4
3,8,9,1439,1,775,1,mvn4,myn4
3,1,8,1274,0,1035,1,mvn4,myn4
3,20,1,104,1,483,1,mvn4,myn4
4,8,4,578,1,1972,1,niong3,nioN3
4,2,6,906,0,670,1,niong3,nioN3
4,1,1,35,0,1395,1,niong3,nioN3
4,22,4,634,0,2072,1,niong3,nioN3
4,20,10,1552,1,179,1,niong3,nioN3
5,20,4,598,1,201,1,shia2,Sia2
5,22,6,874,0,2645,1,shia2,Sia2
5,1,2,192,0,966,1,shia2,Sia2
5,2,3,420,0,2352,1,shia2,Sia2
5,8,8,1171,1,772,1,shia2,Sia2
6,1,5,760,0,821,1,qua4,qua4
6,2,8,1189,0,1029,1,qua4,qua4
6,8,6,919,1,839,1,qua4,qua4
6,22,7,1102,0,2061,1,qua4,qua4
6,20,5,665,1,58,1,qua4,qua4
7,2,4,539,0,3332,1,mue3,mu^3
7,22,2,315,0,1873,1,mue3,mu^3
7,1,7,1062,0,839,1,mue3,mu^3
7,8,6,959,0,843,1,mue3,mu^3
7,20,9,1390,1,49,1,mue3,mu^3
8,22,2,296,0,2089,1,tv1,Ty1
8,20,9,1363,1,149,1,tv1,Ty1
8,8,8,1275,1,554,1,tv1,Ty1
8,2,6,816,0,786,1,tv1,Ty1
8,1,5,675,0,1000,1,tv1,Ty1
9,20,8,1250,1,8,1,niong2,nioN2
9,2,6,805,0,768,1,niong2,nioN2
9,1,10,1535,0,1107,1,niong2,nioN2
9,8,6,927,1,1245,1,niong2,nioN2
9,22,6,867,0,2577,1,niong2,nioN2
10,20,3,476,1,187,1,qvai3,qyai3
10,1,1,6,0,1362,1,qvai3,qyai3
10,8,10,1572,0,394,1,qvai3,qyai3
10,22,8,1124,0,1021,1,qvai3,qyai3
10,2,6,864,0,1578,1,qvai3,qyai3
11,2,5,652,0,1417,1,puo1,Puo1
11,1,7,1020,0,631,1,puo1,Puo1
11,8,4,607,0,1166,1,puo1,Puo1
11,20,1,29,1,1073,1,puo1,Puo1
11,22,8,1267,0,478,1,puo1,Puo1
12,8,6,843,1,1174,1,zio3,cio3
12,20,6,865,1,264,1,zio3,cio3
12,1,8,1203,0,562,1,zio3,cio3
12,2,10,1480,0,908,1,zio3,cio3
12,22,10,1467,0,1246,1,zio3,cio3
13,1,7,976,0,514,1,qvo4,qyo4
13,2,6,811,0,890,1,qvo4,qyo4
13,8,2,305,0,2688,1,qvo4,qyo4
13,22,5,750,0,1833,1,qvo4,qyo4
13,20,5,702,1,40,1,qvo4,qyo4
14,22,1,140,0,2217,1,mv4,my4
14,8,9,1289,0,701,1,mv4,my4
14,1,8,1212,0,647,1,mv4,my4
14,20,3,368,1,193,1,mv4,my4
14,2,8,1174,0,622,1,mv4,my4
15,1,5,739,0,440,1,yei4,iei4
15,22,2,234,1,2564,1,yei4,iei4
15,20,10,1565,1,55,1,yei4,iei4
15,2,1,25,1,1366,1,yei4,iei4
15,8,4,627,0,2144,1,yei4,iei4
16,2,4,595,0,1759,1,kvo3,Kyo3
16,1,10,1510,0,349,1,kvo3,Kyo3
16,20,9,1292,1,203,1,kvo3,Kyo3
16,8,6,923,0,607,1,kvo3,Kyo3
16,22,8,1263,0,1278,1,kvo3,Kyo3
17,2,9,1323,0,781,1,sin3,sin3
17,1,10,1520,0,448,1,sin3,sin3
17,8,2,199,0,2107,1,sin3,sin3
17,22,1,35,0,1797,1,sin3,sin3
17,20,6,855,1,68,1,sin3,sin3
18,1,8,1148,0,880,1,biu2,piou2
18,22,9,1341,0,1461,1,biu2,piou2
18,20,2,271,1,84,1,biu2,piou2
18,2,10,1515,0,1551,1,biu2,piou2
18,8,9,1379,1,491,1,biu2,piou2
19,2,2,216,1,2422,1,mio3,mio3
19,22,1,103,0,2324,1,mio3,mio3
19,20,6,910,1,202,1,mio3,mio3
19,8,10,1556,0,647,1,mio3,mio3
19,1,1,86,0,889,1,mio3,mio3
20,8,6,934,0,619,1,quao1,quau1
20,2,9,1331,0,1792,1,quao1,quau1
20,22,8,1191,0,896,1,quao1,quau1
20,1,6,956,0,711,1,quao1,quau1
20,20,2,297,1,94,1,quao1,quau1
21,1,2,173,0,894,1,zhuai2,Zuai2
21,20,10,1489,1,401,1,zhuai2,Zuai2
21,22,8,1182,1,2753,1,zhuai2,Zuai2
21,8,3,421,0,1306,1,zhuai2,Zuai2
21,2,7,982,0,16,1,zhuai2,Zuai2
22,2,4,594,0,2453,1,mui4,mui4
22,8,3,400,0,2560,1,mui4,mui4
