Word,Real,Cat
jabberwocky,N,cont
twas,N,cont
brillig,N,cont
and,Y,func
the,Y,func
slithy,N,cont
toves,N,cont
did,Y,func
gyre,N,cont
gimble,N,cont
in,Y,func
wabe,N,cont
all,Y,cont
mimsy,N,cont
were,Y,func
borogoves,N,cont
mome,N,cont
raths,N,cont
outgrabe,N,cont
beware,Y,cont
jabberwock,N,cont
my,Y,cont
son,Y,cont
jaws,Y,cont
that,Y,func
bite,Y,cont
claws,Y,cont
catch,Y,cont
jubjub,N,cont
bird,Y,cont
shun,N,cont
frumious,N,cont
bandersnatch,N,cont
he,Y,cont
took,Y,cont
his,Y,cont
vorpal,N,cont
sword,Y,cont
hand,Y,cont
long,Y,cont
time,Y,cont
manxome,N,cont
foe,Y,cont
sought,Y,cont
so,Y,cont
rested,Y,cont
by,Y,func
tumtum,N,cont
tree,Y,cont
stood,Y,cont
awhile,Y,cont
thought,Y,cont
as,Y,func
uffish,N,cont
with,Y,func
eyes,Y,cont
of,Y,func
flame,Y,cont
came,Y,cont
whiffling,Y,cont
through,Y,func
tulgey,N,cont
wood,Y,cont
burbled,N,cont
it,Y,cont
one,Y,cont
two,Y,cont
blade,Y,cont
went,Y,cont
snickersnack,N,cont
left,Y,cont
dead,Y,cont
its,Y,cont
head,Y,cont
galumphing,N,cont
back,Y,cont
hast,Y,func
thou,Y,cont
slain,Y,cont
come,Y,cont
to,Y,func
arms,Y,cont
beamish,N,cont
boy,Y,cont
o,N,na
frabjous,N,cont
day,Y,cont
callooh,N,na
callay,N,na
chortled,Y,cont
joy,Y,cont
