ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII,logRT,Ph,NB
1,8,6,876,1,1250,1,zhvn1,Zyn1,7.13089883029635,2.1357,4
1,1,1,107,0,521,1,zhvn1,Zyn1,6.25575004175337,2.1357,4
1,2,10,1451,0,745,1,zhvn1,Zyn1,6.61338421837956,2.1357,4
1,22,1,96,1,3127,1,zhvn1,Zyn1,8.04782935745784,2.1357,4
2,22,6,910,0,1735,1,tvi3,Tyei3,7.45876269238096,2.2203,0
2,2,1,17,0,1702,1,tvi3,Tyei3,7.43955930913332,2.2203,0
2,20,7,969,1,239,1,tvi3,Tyei3,5.47646355193151,2.2203,0
2,8,5,769,1,1549,1,tvi3,Tyei3,7.34536484041687,2.2203,0
2,1,8,1210,0,514,1,tvi3,Tyei3,6.24222326545517,2.2203,0
3,22,2,200,0,3230,1,mvn4,myn4,8.0802374162167,2.1357,4
3,2,9,1373,0,995,1,mvn4,myn4,6.90274273715859,2.1357,4
3,8,9,1439,1,775,1,mvn4,myn4,6.65286302935335,2.1357,4
3,1,8,1274,0,1035,1,mvn4,myn4,6.94215670569947,2.1357,4
3,20,1,104,1,483,1,mvn4,myn4,6.18001665365257,2.1357,4
4,8,4,578,1,1972,1,niong3,nioN3,7.58680353516258,2.8507,8
4,2,6,906,0,670,1,niong3,nioN3,6.50727771238501,2.8507,8
4,1,1,35,0,1395,1,niong3,nioN3,7.24064969425547,2.8507,8
4,22,4,634,0,2072,1,niong3,nioN3,7.63626960337937,2.8507,8
5,22,6,874,0,2645,1,shia2,Sia2,7.8804263442924,1.7383,7
5,1,2,192,0,966,1,shia2,Sia2,6.87316383421252,1.7383,7
5,2,3,420,0,2352,1,shia2,Sia2,7.76302130901852,1.7383,7
5,8,8,1171,1,772,1,shia2,Sia2,6.64898455002478,1.7383,7
6,1,5,760,0,821,1,qua4,qua4,6.71052310945243,2.3702,12
6,2,8,1189,0,1029,1,qua4,qua4,6.93634273583405,2.3702,12
6,8,6,919,1,839,1,qua4,qua4,6.73221070646721,2.3702,12
6,22,7,1102,0,2061,1,qua4,qua4,7.63094658089046,2.3702,12
7,2,4,539,0,3332,1,mue3,mu^3,8.11132800328673,1.6833,6
7,22,2,315,0,1873,1,mue3,mu^3,7.53529670244409,1.6833,6
7,1,7,1062,0,839,1,mue3,mu^3,6.73221070646721,1.6833,6
7,8,6,959,0,843,1,mue3,mu^3,6.73696695800186,1.6833,6
8,22,2,296,0,2089,1,tv1,Ty1,7.64444076155657,1.6827,7
8,8,8,1275,1,554,1,tv1,Ty1,6.31716468674728,1.6827,7
8,2,6,816,0,786,1,tv1,Ty1,6.66695679242921,1.6827,7
8,1,5,675,0,1000,1,tv1,Ty1,6.90775527898214,1.6827,7
9,2,6,805,0,768,1,niong2,nioN2,6.64378973314767,2.8507,8
9,1,10,1535,0,1107,1,niong2,nioN2,7.00940893270864,2.8507,8
9,8,6,927,1,1245,1,niong2,nioN2,7.12689080889881,2.8507,8
9,22,6,867,0,2577,1,niong2,nioN2,7.85438121065236,2.8507,8
10,1,1,6,0,1362,1,qvai3,qyai3,7.21670948670946,4.0762,0
10,8,10,1572,0,394,1,qvai3,qyai3,5.97635090929793,4.0762,0
10,22,8,1124,0,1021,1,qvai3,qyai3,6.92853781816467,4.0762,0
10,2,6,864,0,1578,1,qvai3,qyai3,7.36391350140582,4.0762,0
11,2,5,652,0,1417,1,puo1,Puo1,7.25629723969068,2.1396,17
11,1,7,1020,0,631,1,puo1,Puo1,6.44730586254121,2.1396,17
11,8,4,607,0,1166,1,puo1,Puo1,7.06133436691044,2.1396,17
11,20,1,29,1,1073,1,puo1,Puo1,6.9782137426307,2.1396,17
11,22,8,1267,0,478,1,puo1,Puo1,6.16961073249146,2.1396,17
12,8,6,843,1,1174,1,zio3,cio3,7.06817200038804,1.5089,2
12,20,6,865,1,264,1,zio3,cio3,5.57594910314632,1.5089,2
12,1,8,1203,0,562,1,zio3,cio3,6.33150184989369,1.5089,2
12,2,10,1480,0,908,1,zio3,cio3,6.81124437860129,1.5089,2
12,22,10,1467,0,1246,1,zio3,cio3,7.1276936993474,1.5089,2
13,1,7,976,0,514,1,qvo4,qyo4,6.24222326545517,4.1358,1
13,2,6,811,0,890,1,qvo4,qyo4,6.79122146272619,4.1358,1
13,8,2,305,0,2688,1,qvo4,qyo4,7.89655270164304,4.1358,1
13,22,5,750,0,1833,1,qvo4,qyo4,7.5137092478397,4.1358,1
14,22,1,140,0,2217,1,mv4,my4,7.70391020961631,1.6827,7
14,8,9,1289,0,701,1,mv4,my4,6.55250788703459,1.6827,7
14,1,8,1212,0,647,1,mv4,my4,6.4723462945009,1.6827,7
14,2,8,1174,0,622,1,mv4,my4,6.43294009273918,1.6827,7
15,1,5,739,0,440,1,yei4,iei4,6.08677472691231,1.3055,13
15,22,2,234,1,2564,1,yei4,iei4,7.84932381804056,1.3055,13
15,2,1,25,1,1366,1,yei4,iei4,7.21964204013074,1.3055,13
15,8,4,627,0,2144,1,yei4,iei4,7.67042852219069,1.3055,13
16,2,4,595,0,1759,1,kvo3,Kyo3,7.47250074473756,1.3483,1
16,1,10,1510,0,349,1,kvo3,Kyo3,5.85507192220243,1.3483,1
16,8,6,923,0,607,1,kvo3,Kyo3,6.4085287910595,1.3483,1
16,22,8,1263,0,1278,1,kvo3,Kyo3,7.15305163493748,1.3483,1
17,2,9,1323,0,781,1,sin3,sin3,6.66057514983969,2.0185,12
17,1,10,1520,0,448,1,sin3,sin3,6.10479323241498,2.0185,12
17,8,2,199,0,2107,1,sin3,sin3,7.65302041380419,2.0185,12
17,22,1,35,0,1797,1,sin3,sin3,7.49387388678356,2.0185,12
18,1,8,1148,0,880,1,biu2,piou2,6.77992190747225,2.7595,1
18,22,9,1341,0,1461,1,biu2,piou2,7.2868764117507,2.7595,1
18,2,10,1515,0,1551,1,biu2,piou2,7.34665516317654,2.7595,1
18,8,9,1379,1,491,1,biu2,piou2,6.19644412779452,2.7595,1
19,2,2,216,1,2422,1,mio3,mio3,7.79234892411304,2.6331,7
19,22,1,103,0,2324,1,mio3,mio3,7.7510451179718,2.6331,7
19,8,10,1556,0,647,1,mio3,mio3,6.4723462945009,2.6331,7
19,1,1,86,0,889,1,mio3,mio3,6.7900972355139,2.6331,7
20,8,6,934,0,619,1,quao1,quau1,6.4281052726846,2.4446,2
20,2,9,1331,0,1792,1,quao1,quau1,7.49108759353488,2.4446,2
20,22,8,1191,0,896,1,quao1,quau1,6.79794041297493,2.4446,2
20,1,6,956,0,711,1,quao1,quau1,6.56667242980324,2.4446,2
