SessionN,StimuliID,RT,Correct,Conf.Resp,Condition,SubjectId
1,189,478,yes,s,unnatural,Subject1
1,189,478,yes,s,unnatural,Subject1
1,130,481,yes,s,unnatural,Subject1
1,130,481,yes,s,unnatural,Subject1
1,188,776,no,s,unnatural,Subject1
1,188,776,no,s,unnatural,Subject1
1,109,1595,no,s,unnatural,Subject1
1,109,1595,no,s,unnatural,Subject1
1,136,790,no,s,unnatural,Subject1
1,136,790,no,s,unnatural,Subject1
1,202,591,yes,s,unnatural,Subject1
1,202,591,yes,s,unnatural,Subject1
1,155,928,yes,l,unnatural,Subject1
1,155,928,yes,l,unnatural,Subject1
1,141,303,no,s,unnatural,Subject1
1,141,303,no,s,unnatural,Subject1
1,137,1153,no,s,unnatural,Subject1
1,137,1153,no,s,unnatural,Subject1
1,210,3135,no,s,unnatural,Subject1
1,210,3135,no,s,unnatural,Subject1
1,162,3668,yes,l,unnatural,Subject1
1,162,3668,yes,l,unnatural,Subject1
1,118,589,no,s,unnatural,Subject1
1,118,589,no,s,unnatural,Subject1
1,114,509,yes,s,unnatural,Subject1
1,114,509,yes,s,unnatural,Subject1
1,157,24,yes,s,unnatural,Subject1
1,157,24,yes,s,unnatural,Subject1
1,132,329,no,s,unnatural,Subject1
1,132,329,no,s,unnatural,Subject1
1,133,301,yes,s,unnatural,Subject1
1,133,301,yes,s,unnatural,Subject1
1,196,649,no,l,unnatural,Subject1
1,196,649,no,l,unnatural,Subject1
1,127,372,yes,s,unnatural,Subject1
1,127,372,yes,s,unnatural,Subject1
1,173,552,yes,s,unnatural,Subject1
1,173,552,yes,s,unnatural,Subject1
1,120,275,no,s,unnatural,Subject1
1,120,275,no,s,unnatural,Subject1
1,169,418,yes,s,unnatural,Subject1
1,169,418,yes,s,unnatural,Subject1
1,167,319,yes,s,unnatural,Subject1
1,167,319,yes,s,unnatural,Subject1
1,161,316,yes,s,unnatural,Subject1
1,161,316,yes,s,unnatural,Subject1
1,181,1685,no,l,unnatural,Subject1
1,181,1685,no,l,unnatural,Subject1
1,146,470,yes,s,unnatural,Subject1
1,146,470,yes,s,unnatural,Subject1
2,129,361,yes,s,unnatural,Subject1
2,129,361,yes,s,unnatural,Subject1
1,121,332,no,s,unnatural,Subject1
1,121,332,no,s,unnatural,Subject1
1,113,1011,no,s,unnatural,Subject1
1,113,1011,no,s,unnatural,Subject1
1,139,636,yes,s,unnatural,Subject1
1,139,636,yes,s,unnatural,Subject1
1,182,265,yes,s,unnatural,Subject1
1,182,265,yes,s,unnatural,Subject1
1,204,659,yes,s,unnatural,Subject1
1,204,659,yes,s,unnatural,Subject1
1,160,791,yes,s,unnatural,Subject1
1,160,791,yes,s,unnatural,Subject1
1,152,194,no,s,unnatural,Subject1
1,152,194,no,s,unnatural,Subject1
1,128,325,no,l,unnatural,Subject1
1,128,325,no,l,unnatural,Subject1
1,172,2070,yes,l,unnatural,Subject1
1,172,2070,yes,l,unnatural,Subject1
1,163,360,no,s,unnatural,Subject1
1,163,360,no,s,unnatural,Subject1
1,170,315,no,s,unnatural,Subject1
1,170,315,no,s,unnatural,Subject1
1,158,323,no,l,unnatural,Subject1
1,158,323,no,l,unnatural,Subject1
1,205,629,yes,s,unnatural,Subject1
1,205,629,yes,s,unnatural,Subject1
1,134,326,yes,s,unnatural,Subject1
1,134,326,yes,s,unnatural,Subject1
1,153,497,yes,s,unnatural,Subject1
1,153,497,yes,s,unnatural,Subject1
1,206,733,no,s,unnatural,Subject1
1,206,733,no,s,unnatural,Subject1
2,200,407,yes,s,unnatural,Subject1
2,200,407,yes,s,unnatural,Subject1
2,170,785,no,l,unnatural,Subject1
2,170,785,no,l,unnatural,Subject1
2,192,613,no,s,unnatural,Subject1
2,192,613,no,s,unnatural,Subject1
2,140,179,no,s,unnatural,Subject1
2,140,179,no,s,unnatural,Subject1
2,216,1124,yes,l,unnatural,Subject1
2,216,1124,yes,l,unnatural,Subject1
2,146,1007,yes,l,unnatural,Subject1
2,146,1007,yes,l,unnatural,Subject1
2,116,1013,yes,s,unnatural,Subject1
2,116,1013,yes,s,unnatural,Subject1
2,173,437,no,l,unnatural,Subject1
2,173,437,no,l,unnatural,Subject1
2,136,271,yes,l,unnatural,Subject1
2,136,271,yes,l,unnatural,Subject1
2,112,111,no,s,unnatural,Subject1
2,112,111,no,s,unnatural,Subject1
2,135,1375,no,l,unnatural,Subject1
2,135,1375,no,l,unnatural,Subject1
2,130,392,no,l,unnatural,Subject1
2,130,392,no,l,unnatural,Subject1
2,196,1328,no,l,unnatural,Subject1
2,196,1328,no,l,unnatural,Subject1
1,119,330,no,s,unnatural,Subject1
1,119,330,no,s,unnatural,Subject1
2,209,272,no,s,unnatural,Subject1
2,209,272,no,s,unnatural,Subject1
2,169,569,no,s,unnatural,Subject1
2,169,569,no,s,unnatural,Subject1
2,182,880,yes,l,unnatural,Subject1
2,182,880,yes,l,unnatural,Subject1
2,187,525,no,s,unnatural,Subject1
2,187,525,no,s,unnatural,Subject1
2,124,614,yes,s,unnatural,Subject1
2,124,614,yes,s,unnatural,Subject1
2,197,506,yes,s,unnatural,Subject1
2,197,506,yes,s,unnatural,Subject1
2,153,175,no,s,unnatural,Subject1
2,153,175,no,s,unnatural,Subject1
2,166,883,no,l,unnatural,Subject1
2,166,883,no,l,unnatural,Subject1
2,120,413,no,s,unnatural,Subject1
2,120,413,no,s,unnatural,Subject1
2,159,294,yes,s,unnatural,Subject1
2,159,294,yes,s,unnatural,Subject1
1,207,661,no,s,unnatural,Subject1
1,207,661,no,s,unnatural,Subject1
1,165,598,no,s,unnatural,Subject1
1,165,598,no,s,unnatural,Subject1
2,210,389,no,s,unnatural,Subject1
2,210,389,no,s,unnatural,Subject1
1,200,1095,yes,l,unnatural,Subject1
1,200,1095,yes,l,unnatural,Subject1
1,174,371,no,s,unnatural,Subject1
1,174,371,no,s,unnatural,Subject1
1,144,294,no,s,unnatural,Subject1
1,144,294,no,s,unnatural,Subject1
1,214,358,no,l,unnatural,Subject1
1,214,358,no,l,unnatural,Subject1
1,185,478,no,s,unnatural,Subject1
1,185,478,no,s,unnatural,Subject1
1,195,1073,yes,l,unnatural,Subject1
1,195,1073,yes,l,unnatural,Subject1
1,149,640,yes,s,unnatural,Subject1
1,149,640,yes,s,unnatural,Subject1
1,147,262,no,l,unnatural,Subject1
1,147,262,no,l,unnatural,Subject1
1,123,1077,yes,s,unnatural,Subject1
1,123,1077,yes,s,unnatural,Subject1
1,135,2411,yes,l,unnatural,Subject1
1,135,2411,yes,l,unnatural,Subject1
2,148,290,no,s,unnatural,Subject1
2,148,290,no,s,unnatural,Subject1
1,115,453,yes,s,unnatural,Subject1
1,115,453,yes,s,unnatural,Subject1
2,161,359,yes,s,unnatural,Subject1
2,161,359,yes,s,unnatural,Subject1
2,111,910,yes,l,unnatural,Subject1
2,111,910,yes,l,unnatural,Subject1
1,199,891,no,s,unnatural,Subject1
1,199,891,no,s,unnatural,Subject1
1,180,1255,no,l,unnatural,Subject1
1,180,1255,no,l,unnatural,Subject1
1,125,673,no,s,unnatural,Subject1
1,125,673,no,s,unnatural,Subject1
1,197,310,yes,s,unnatural,Subject1
1,197,310,yes,s,unnatural,Subject1
1,193,83,yes,s,unnatural,Subject1
1,193,83,yes,s,unnatural,Subject1
1,159,574,no,s,unnatural,Subject1
1,159,574,no,s,unnatural,Subject1
1,184,729,no,s,unnatural,Subject1
1,184,729,no,s,unnatural,Subject1
1,142,912,no,s,unnatural,Subject1
1,142,912,no,s,unnatural,Subject1
1,179,1132,no,l,unnatural,Subject1
1,179,1132,no,l,unnatural,Subject1
1,151,364,yes,s,unnatural,Subject1
1,151,364,yes,s,unnatural,Subject1
1,175,452,yes,s,unnatural,Subject1
1,175,452,yes,s,unnatural,Subject1
1,194,1772,yes,l,unnatural,Subject1
1,194,1772,yes,l,unnatural,Subject1
1,191,645,yes,s,unnatural,Subject1
1,191,645,yes,s,unnatural,Subject1
1,203,864,no,s,unnatural,Subject1
1,203,864,no,s,unnatural,Subject1
1,166,466,no,s,unnatural,Subject1
1,166,466,no,s,unnatural,Subject1
1,198,1508,no,l,unnatural,Subject1
1,198,1508,no,l,unnatural,Subject1
1,131,476,yes,s,unnatural,Subject1
1,131,476,yes,s,unnatural,Subject1
1,129,382,yes,s,unnatural,Subject1
1,129,382,yes,s,unnatural,Subject1
1,116,652,yes,l,unnatural,Subject1
1,116,652,yes,l,unnatural,Subject1
1,126,1722,yes,l,unnatural,Subject1
1,126,1722,yes,l,unnatural,Subject1
1,138,667,no,s,unnatural,Subject1
1,138,667,no,s,unnatural,Subject1
1,171,348,yes,s,unnatural,Subject1
1,171,348,yes,s,unnatural,Subject1
1,164,716,yes,s,unnatural,Subject1
1,164,716,yes,s,unnatural,Subject1
1,140,270,no,s,unnatural,Subject1
1,140,270,no,s,unnatural,Subject1
2,188,826,no,l,unnatural,Subject1
2,188,826,no,l,unnatural,Subject1
2,133,447,yes,s,unnatural,Subject1
2,133,447,yes,s,unnatural,Subject1
2,162,269,no,s,unnatural,Subject1
2,162,269,no,s,unnatural,Subject1
1,122,277,yes,s,unnatural,Subject1
1,122,277,yes,s,unnatural,Subject1
1,190,314,no,s,unnatural,Subject1
1,190,314,no,s,unnatural,Subject1
1,192,1011,no,s,unnatural,Subject1
1,192,1011,no,s,unnatural,Subject1
1,111,735,no,s,unnatural,Subject1
1,111,735,no,s,unnatural,Subject1
1,212,1075,yes,s,unnatural,Subject1
1,212,1075,yes,s,unnatural,Subject1
1,110,1497,no,l,unnatural,Subject1
1,110,1497,no,l,unnatural,Subject1
1,112,776,yes,l,unnatural,Subject1
1,112,776,yes,l,unnatural,Subject1
1,177,760,no,l,unnatural,Subject1
1,177,760,no,l,unnatural,Subject1
1,183,602,yes,s,unnatural,Subject1
1,183,602,yes,s,unnatural,Subject1
1,150,977,no,s,unnatural,Subject1
1,150,977,no,s,unnatural,Subject1
2,193,420,no,s,unnatural,Subject1
2,193,420,no,s,unnatural,Subject1
1,201,303,no,s,unnatural,Subject1
1,201,303,no,s,unnatural,Subject1
1,211,2299,yes,l,unnatural,Subject1
1,211,2299,yes,l,unnatural,Subject1
1,215,436,yes,s,unnatural,Subject1
1,215,436,yes,s,unnatural,Subject1
1,213,365,no,s,unnatural,Subject1
1,213,365,no,s,unnatural,Subject1
1,124,853,yes,s,unnatural,Subject1
1,124,853,yes,s,unnatural,Subject1
2,154,446,yes,l,unnatural,Subject1
2,154,446,yes,l,unnatural,Subject1
2,198,1018,yes,s,unnatural,Subject1
2,198,1018,yes,s,unnatural,Subject1
2,194,692,yes,s,unnatural,Subject1
2,194,692,yes,s,unnatural,Subject1
2,179,1084,yes,l,unnatural,Subject1
2,179,1084,yes,l,unnatural,Subject1
2,204,278,yes,l,unnatural,Subject1
2,204,278,yes,l,unnatural,Subject1
2,118,375,no,l,unnatural,Subject1
2,118,375,no,l,unnatural,Subject1
2,205,475,yes,s,unnatural,Subject1
2,205,475,yes,s,unnatural,Subject1
2,184,1706,yes,l,unnatural,Subject1
2,184,1706,yes,l,unnatural,Subject1
2,123,165,yes,s,unnatural,Subject1
2,123,165,yes,s,unnatural,Subject1
2,214,483,yes,s,unnatural,Subject1
2,214,483,yes,s,unnatural,Subject1
2,156,1718,yes,l,unnatural,Subject1
2,156,1718,yes,l,unnatural,Subject1
2,181,1437,yes,s,unnatural,Subject1
2,181,1437,yes,s,unnatural,Subject1
2,215,307,yes,l,unnatural,Subject1
2,215,307,yes,l,unnatural,Subject1
2,134,220,yes,s,unnatural,Subject1
2,134,220,yes,s,unnatural,Subject1
2,131,197,yes,s,unnatural,Subject1
2,131,197,yes,s,unnatural,Subject1
2,137,566,no,s,unnatural,Subject1
2,137,566,no,s,unnatural,Subject1
2,172,1416,yes,l,unnatural,Subject1
2,172,1416,yes,l,unnatural,Subject1
2,117,660,no,s,unnatural,Subject1
2,117,660,no,s,unnatural,Subject1
2,132,150,no,s,unnatural,Subject1
2,132,150,no,s,unnatural,Subject1
2,109,1123,yes,l,unnatural,Subject1
2,109,1123,yes,l,unnatural,Subject1
1,117,660,no,s,unnatural,Subject1
1,117,660,no,s,unnatural,Subject1
1,148,296,no,s,unnatural,Subject1
1,148,296,no,s,unnatural,Subject1
1,156,2224,no,l,unnatural,Subject1
1,156,2224,no,l,unnatural,Subject1
1,209,2441,no,l,unnatural,Subject1
1,209,2441,no,l,unnatural,Subject1
2,149,1203,yes,l,unnatural,Subject1
2,149,1203,yes,l,unnatural,Subject1
2,145,333,no,l,unnatural,Subject1
2,145,333,no,l,unnatural,Subject1
2,160,2435,yes,l,unnatural,Subject1
2,160,2435,yes,l,unnatural,Subject1
2,189,316,yes,l,unnatural,Subject1
2,189,316,yes,l,unnatural,Subject1
2,115,1253,yes,l,unnatural,Subject1
2,115,1253,yes,l,unnatural,Subject1
2,125,854,no,l,unnatural,Subject1
2,125,854,no,l,unnatural,Subject1
2,155,359,yes,s,unnatural,Subject1
2,155,359,yes,s,unnatural,Subject1
2,164,1247,no,s,unnatural,Subject1
2,164,1247,no,s,unnatural,Subject1
2,141,232,no,s,unnatural,Subject1
2,141,232,no,s,unnatural,Subject1
2,126,552,yes,s,unnatural,Subject1
2,126,552,yes,s,unnatural,Subject1
1,208,541,yes,l,unnatural,Subject1
1,208,541,yes,l,unnatural,Subject1
2,114,606,yes,l,unnatural,Subject1
2,114,606,yes,l,unnatural,Subject1
2,206,1289,no,l,unnatural,Subject1
2,206,1289,no,l,unnatural,Subject1
2,185,548,no,l,unnatural,Subject1
2,185,548,no,l,unnatural,Subject1
2,199,448,yes,s,unnatural,Subject1
2,199,448,yes,s,unnatural,Subject1
2,213,478,no,l,unnatural,Subject1
2,213,478,no,l,unnatural,Subject1
1,186,1242,yes,l,unnatural,Subject1
1,186,1242,yes,l,unnatural,Subject1
1,168,1083,no,l,unnatural,Subject1
1,168,1083,no,l,unnatural,Subject1
1,154,362,no,s,unnatural,Subject1
1,154,362,no,s,unnatural,Subject1
1,145,303,no,s,unnatural,Subject1
1,145,303,no,s,unnatural,Subject1
1,143,1387,no,l,unnatural,Subject1
1,143,1387,no,l,unnatural,Subject1
1,187,455,no,s,unnatural,Subject1
1,187,455,no,s,unnatural,Subject1
1,176,456,yes,l,unnatural,Subject1
1,176,456,yes,l,unnatural,Subject1
2,122,524,yes,s,unnatural,Subject1
2,122,524,yes,s,unnatural,Subject1
1,178,276,no,s,unnatural,Subject1
1,178,276,no,s,unnatural,Subject1
1,216,328,no,s,unnatural,Subject1
1,216,328,no,s,unnatural,Subject1
2,186,353,yes,s,unnatural,Subject1
2,186,353,yes,s,unnatural,Subject1
2,208,1401,yes,s,unnatural,Subject1
2,208,1401,yes,s,unnatural,Subject1
2,207,1502,no,l,unnatural,Subject1
2,207,1502,no,l,unnatural,Subject1
2,147,708,no,s,unnatural,Subject1
2,147,708,no,s,unnatural,Subject1
2,157,877,no,s,unnatural,Subject1
2,157,877,no,s,unnatural,Subject1
2,165,815,no,s,unnatural,Subject1
2,165,815,no,s,unnatural,Subject1
2,183,579,yes,s,unnatural,Subject1
2,183,579,yes,s,unnatural,Subject1
2,151,375,yes,s,unnatural,Subject1
2,151,375,yes,s,unnatural,Subject1
2,174,569,yes,s,unnatural,Subject1
2,174,569,yes,s,unnatural,Subject1
2,144,273,no,s,unnatural,Subject1
2,144,273,no,s,unnatural,Subject1
