ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII,Item_ZhuyinFuhao
1,20,6,932,1,15,1,zhvn1,Zyn1,ㄓㄩㄣ
1,8,6,876,1,1250,1,zhvn1,Zyn1,ㄓㄩㄣ
1,1,1,107,0,521,1,zhvn1,Zyn1,ㄓㄩㄣ
1,2,10,1451,0,745,1,zhvn1,Zyn1,ㄓㄩㄣ
1,22,1,96,1,3127,1,zhvn1,Zyn1,ㄓㄩㄣ
2,22,6,910,0,1735,1,tvi3,Tyei3,ㄊㄩㄟˇ
2,2,1,17,0,1702,1,tvi3,Tyei3,ㄊㄩㄟˇ
2,20,7,969,1,239,1,tvi3,Tyei3,ㄊㄩㄟˇ
2,8,5,769,1,1549,1,tvi3,Tyei3,ㄊㄩㄟˇ
2,1,8,1210,0,514,1,tvi3,Tyei3,ㄊㄩㄟˇ
3,22,2,200,0,3230,1,mvn4,myn4,ㄇㄩㄣˋ
3,2,9,1373,0,995,1,mvn4,myn4,ㄇㄩㄣˋ
3,8,9,1439,1,775,1,mvn4,myn4,ㄇㄩㄣˋ
3,1,8,1274,0,1035,1,mvn4,myn4,ㄇㄩㄣˋ
3,20,1,104,1,483,1,mvn4,myn4,ㄇㄩㄣˋ
4,8,4,578,1,1972,1,niong3,nioN3,ㄋㄩㄥˇ
4,2,6,906,0,670,1,niong3,nioN3,ㄋㄩㄥˇ
4,1,1,35,0,1395,1,niong3,nioN3,ㄋㄩㄥˇ
4,22,4,634,0,2072,1,niong3,nioN3,ㄋㄩㄥˇ
4,20,10,1552,1,179,1,niong3,nioN3,ㄋㄩㄥˇ
5,20,4,598,1,201,1,shia2,Sia2,ㄕㄧㄚˊ
5,22,6,874,0,2645,1,shia2,Sia2,ㄕㄧㄚˊ
5,1,2,192,0,966,1,shia2,Sia2,ㄕㄧㄚˊ
5,2,3,420,0,2352,1,shia2,Sia2,ㄕㄧㄚˊ
5,8,8,1171,1,772,1,shia2,Sia2,ㄕㄧㄚˊ
6,1,5,760,0,821,1,qua4,qua4,ㄑㄨㄚˋ
6,2,8,1189,0,1029,1,qua4,qua4,ㄑㄨㄚˋ
6,8,6,919,1,839,1,qua4,qua4,ㄑㄨㄚˋ
6,22,7,1102,0,2061,1,qua4,qua4,ㄑㄨㄚˋ
6,20,5,665,1,58,1,qua4,qua4,ㄑㄨㄚˋ
7,2,4,539,0,3332,1,mue3,mu^3,ㄇㄨㄜˇ
7,22,2,315,0,1873,1,mue3,mu^3,ㄇㄨㄜˇ
7,1,7,1062,0,839,1,mue3,mu^3,ㄇㄨㄜˇ
7,8,6,959,0,843,1,mue3,mu^3,ㄇㄨㄜˇ
7,20,9,1390,1,49,1,mue3,mu^3,ㄇㄨㄜˇ
8,22,2,296,0,2089,1,tv1,Ty1,ㄊㄩ
8,20,9,1363,1,149,1,tv1,Ty1,ㄊㄩ
8,8,8,1275,1,554,1,tv1,Ty1,ㄊㄩ
8,2,6,816,0,786,1,tv1,Ty1,ㄊㄩ
8,1,5,675,0,1000,1,tv1,Ty1,ㄊㄩ
9,20,8,1250,1,8,1,niong2,nioN2,ㄋㄩㄥˊ
9,2,6,805,0,768,1,niong2,nioN2,ㄋㄩㄥˊ
