LanguageName,InventoryID,ISO6393,Glottocode,Source,name,isocodes,level,macroarea,latitude,longitude,SegmentN
!Xóõ,1379,nmn,huaa1248,gm,East Taa,nmn,language,Africa,-24.20022,20.79583,161
!XU,432,ktz,juho1239,upsid,South-Eastern Ju,ktz,language,Africa,-19.688,20.7673,141
!Xun,1383,knw,kung1261,gm,North-Central Ju,knw,language,Africa,-21.92,18,120
Aari,1483,aiw,aari1239,gm,Aari,aiw,language,Africa,5.95034,36.5721,36
Abau,1160,aau,abau1245,ph,Abau,aau,language,Papunesia,-3.97222,141.324,14
Abidji,1526,abi,abid1235,gm,Abidji,abi,language,Africa,5.65656,-4.58421,77
Abidji,649,abi,abid1235,aa,Abidji,abi,language,Africa,5.65656,-4.58421,77
Abipon,1914,axb,abip1241,saphon,Abipon,axb,language,South America,-29,-61,23
ABIPON,235,axb,abip1241,upsid,Abipon,axb,language,South America,-29,-61,20
Abua,1297,abn,abua1244,gm,Abua,abn,language,Africa,4.83057,6.61492,40
Abujmaria,1701,mrr,abuj1237,ra,Abujmaria,NA,dialect,Eurasia,NA,NA,39
Abulas,1159,abt,ambu1247,ph,Ambulas,abt,language,Papunesia,-3.7801,143.059,24
Abure,1521,abu,abur1243,gm,Abure,abu,language,Africa,5.21534,-3.64123,38
Acehnese,1093,ace,achi1257,ph,Acehnese,ace,language,Eurasia,3.90757,96.6032,55
Achagua,1803,aca,acha1250,saphon,Achagua,aca,language,South America,4.38649,-72.2005,29
ACHE,348,guq,ache1246,upsid,Aché,guq,language,South America,-25.5865,-56.4697,21
Aché,2068,guq,ache1246,saphon,Aché,guq,language,South America,-25.5865,-56.4697,34
Acholi,1433,ach,acol1236,gm,Acoli,ach,language,Africa,3.57738,32.5147,29
Achuar-Shiwiar,1946,acu,achu1248,saphon,Achuar-Shiwiar,acu,language,South America,-2.82646,-77.2641,27
ACHUMAWI,199,acv,achu1247,upsid,Achumawi,acv,language,North America,41.0979,-121.191,23
ACOMA,413,kjq,west2632,upsid,Western Keres,kjq,language,North America,34.9733,-107.517,51
Adamawa Fulfulde; Adamawa Fulani,1234,fub,adam1253,ph,Adamawa Fulfulde,fub,language,Africa,8.140326,13.077338,36
Adang,1090,adn,adan1251,ph,Adang,adn,language,Papunesia,-8.18958,124.448,40
Adioukrou,1527,adj,adio1239,gm,Adioukrou,adj,language,Africa,5.38228,-4.52522,63
Adioukrou,650,adj,adio1239,aa,Adioukrou,adj,language,Africa,5.38228,-4.52522,63
Adja,651,ajg,ajab1235,aa,Aja (Benin),ajg,language,Africa,7.06634,1.64992,82
Adja,652,ajg,ajab1235,aa,Aja (Benin),ajg,language,Africa,7.06634,1.64992,82
Adnyamathanha,2931,adt,adny1235,er,Adnyamathanha,adt,language,Australia,-30.1451,138.671,27
Adyghe,2349,ady,adyg1241,ea,Adyghe,ady,language,Eurasia,44,39.33,59
Adzera,41,adz,adze1240,spa,Adzera,adz,language,Papunesia,-6.39394,146.294,25
ADZERA,200,adz,adze1240,upsid,Adzera,adz,language,Papunesia,-6.39394,146.294,25
Afar,1342,aar,afar1241,gm,Afar,aar,language,Africa,12.2281,41.8083,27
Afitti,1295,aft,afit1238,gm,Afitti,aft,language,Africa,12.446,30.7611,26
Afrikaans,1395,afr,afri1274,gm,Afrikaans,afr,language,Africa,-22,30,39
Agaw,1161,ahg,qima1242,ph,Qimant,ahg,language,Africa,12.8119,37.0542,39
Aghem,1524,agq,aghe1239,gm,Aghem,agq,language,Africa,6.38956,10.0807,49
AGHEM,204,agq,aghe1239,upsid,Aghem,agq,language,Africa,6.38956,10.0807,35
Aghu Tharnggala,2880,ggr,aghu1254,er,Aghu Tharnggalu,ggr,language,Australia,-13.735,142.426,27
Agni Djuablin,1243,any,anyi1245,gm,Anyin,any,language,Africa,6.31781,-3.30532,36
Agni Morofo,1244,mtb,anyi1244,gm,Anyin Morofo,mtb,language,Africa,6.1627,-4.64232,49
Aguaruna,1947,agr,agua1253,saphon,Aguaruna,agr,language,South America,-5.30044,-77.9218,20
Agwamin,2926,wmi,wami1239,er,Wamin,wmi,language,Australia,-18.3727,143.943,21
Ahaan,1544,ahn,ahan1244,gm,Àhàn,ahn,language,Africa,7.44139,6.00896,43
Ahanta,1400,aha,ahan1243,gm,Ahanta,aha,language,Africa,4.85147,-1.94657,40
Aheu; Thavung,1216,thm,aheu1239,ph,Thavung,thm,language,Eurasia,17.7655,104.229,47
Ahi,2560,yix,axiy1235,ea,Axi Yi,yix,language,Eurasia,24.6009,103.713,52
Ahlõ,654,ahl,igoo1238,aa,Igo,ahl,language,Africa,7.25499,0.67846,33
AHTNA,206,aht,ahte1237,upsid,Ahtena,aht,language,North America,61.7068,-144.889,35
Aikanã,2118,tba,aika1237,saphon,Aikanã,tba,language,South America,-12.6695,-60.5353,25
Ainu,196,ain,ainu1240,spa,Hokkaido Ainu,ain,language,Eurasia,43.633654,142.46167,17
AINU,207,ain,ainu1240,upsid,Hokkaido Ainu,ain,language,Eurasia,43.633654,142.46167,16
AIZI,205,ahp,apro1235,upsid,Aproumu Aizi,ahp,language,Africa,5.20273,-4.52192,33
Aizi, Tiagba,1528,ahi,tiag1235,gm,Tiagbamrin Aizi,ahi,language,Africa,5.28022,-4.62352,32
aja,1250,aja,ajas1235,gm,Aja (Sudan),aja,language,Africa,8.58003,25.6122,48
Ajumbu,1619,muc,mbuu1238,gm,Ajumbu,muc,language,Africa,6.53792,10.2556,39
Akan,1245,aka,akan1250,gm,Akan,aka,language,Africa,6.34756,-1.33254,131
Akan,140,aka,akan1250,spa,Akan,aka,language,Africa,6.34756,-1.33254,131
Akan,655,aka,akan1250,aa,Akan,aka,language,Africa,6.34756,-1.33254,131
AKAN,208,aka,akan1250,upsid,Akan,aka,language,Africa,6.34756,-1.33254,35
Akasilimi,1572,aks,akas1242,gm,Akaselem,aks,language,Africa,8.8858,1.37035,52
AKAWAIO,209,ake,akaw1239,upsid,Akawaio,ake,language,South America,6.16277,-60.862,23
Akɔɔse,656,bss,akoo1248,aa,Akoose,bss,language,Africa,4.9243,9.65522,44
Akha,2608,ahk,akha1245,ea,Akha,ahk,language,Eurasia,21.2309,100.964,101
Akha,1162,ahk,akha1245,ph,Akha,ahk,language,Eurasia,21.2309,100.964,101
Aklan,1095,akl,akla1241,ph,Aklanon,akl,language,Papunesia,11.5543,122.354,20
Akoose,1554,bss,akoo1248,gm,Akoose,bss,language,Africa,4.9243,9.65522,32
Akpes,1532,ibe,akpe1248,gm,Akpes,ibe,language,Africa,7.50256,5.95559,34
Akuntsú,2069,aqz,akun1241,saphon,Akuntsu,aqz,language,South America,-12.8322,-60.9716,22
Akurio,1862,ako,akur1238,saphon,Akurio,ako,language,South America,3.19607,-55.6294,24
Alaaba,1451,alw,alab1254,gm,Alaba-K'abeena,alw,language,Africa,7.39014,38.1732,62
Alabama,79,akz,alab1237,spa,Alabama,akz,language,North America,30.76738,-94.62848,21
ALABAMA,210,akz,alab1237,upsid,Alabama,akz,language,North America,30.76738,-94.62848,17
Alacalufe,2144,alc,qawa1238,saphon,Qawasqar,alc,language,South America,-49.303195,-74.707536,24
ALAMBLAK,221,amp,alam1246,upsid,Alamblak,amp,language,Papunesia,-4.66307,143.316,25
Alawa,50,alh,alaw1244,spa,Alawa,alh,language,Australia,-15.5458,134.282,54
Alawa,2681,alh,alaw1244,er,Alawa,alh,language,Australia,-15.5458,134.282,54
ALAWA,214,alh,alaw1244,upsid,Alawa,alh,language,Australia,-15.5458,134.282,26
Albanian,169,als,tosk1239,spa,Northern Tosk Albanian,als,language,Eurasia,41,20,35
ALBANIAN,215,als,tosk1239,upsid,Northern Tosk Albanian,als,language,Eurasia,41,20,35
Aleut,61,ale,aleu1260,spa,Aleut,ale,language,North America,52.1228,-174.29,36
ALEUT,213,ale,aleu1260,upsid,Aleut,ale,language,North America,52.1228,-174.29,27
Alladian,1529,ald,alla1248,gm,Alladian,ald,language,Africa,5.22371,-4.42647,36
ALLADIAN,212,ald,alla1248,upsid,Alladian,ald,language,Africa,5.22371,-4.42647,36
