Pinyin_T,onset,Pinyin,tone,onset.type,syllable,syllable2,syllable3,syllable4,syllable.type,gap_narrow,gap_broad,token frequency,type frequency,Number of gaps,Probability,PND.C_G_V_C,PND.C_G_V_X,NF.C_G_V_C,NF.C_G_V_X
a1,0,a,1,onsetless,V,V,CV,CV/CGV,open,N,N,198,198,3,0.078263696,23,25,77408.957,72698
a2,0,a,2,onsetless,V,V,CV,CV/CGV,open,Y,N,0,198,3,0.078263696,23,25,77408.957,72698
a3,0,a,3,onsetless,V,V,CV,CV/CGV,open,Y,Y,0,198,3,0.078263696,23,25,77408.957,72698
a4,0,a,4,onsetless,V,V,CV,CV/CGV,open,Y,N,0,198,3,0.078263696,23,25,77408.957,72698
e1,0,e,1,onsetless,V,V,CV,CV/CGV,open,Y,N,0,40,1,0.058880321,20,19,175969.4,185224.263
e2,0,e,2,onsetless,V,V,CV,CV/CGV,open,N,N,36,40,1,0.058880321,20,19,175969.4,185224.263
e3,0,e,3,onsetless,V,V,CV,CV/CGV,open,N,N,4,40,1,0.058880321,20,19,175969.4,185224.263
e4,0,e,4,onsetless,V,V,CV,CV/CGV,open,N,N,0,40,1,0.058880321,20,19,175969.4,185224.263
o1,0,o,1,onsetless,V,V,CV,CV/CGV,open,Y,N,0,2096,1,0.01261247,19,19,38128.737,42740.889
o2,0,o,2,onsetless,V,V,CV,CV/CGV,open,N,N,1260,2096,1,0.01261247,19,19,38128.737,42740.889
o3,0,o,3,onsetless,V,V,CV,CV/CGV,open,N,N,109,2096,1,0.01261247,19,19,38128.737,42740.889
o4,0,o,4,onsetless,V,V,CV,CV/CGV,open,N,N,727,2096,1,0.01261247,19,19,38128.737,42740.889
wa1,0,wa,1,onsetless,CV,CV,CV,CV/CGV,open,N,N,49,63,1,0.022742275,42,40,231099.6667,239865.2928
wa2,0,wa,2,onsetless,CV,CV,CV,CV/CGV,open,N,N,5,63,1,0.022742275,42,40,231099.6667,239865.2928
wa3,0,wa,3,onsetless,CV,CV,CV,CV/CGV,open,N,N,9,63,1,0.022742275,42,40,231099.6667,239865.2928
wa4,0,wa,4,onsetless,CV,CV,CV,CV/CGV,open,Y,N,0,63,1,0.022742275,42,40,231099.6667,239865.2928
wo1,0,wo,1,onsetless,CV,CV,CV,CV/CGV,open,N,N,8,17532,1,0.83600762,25,23,89814.222,76363.222
wo2,0,wo,2,onsetless,CV,CV,CV,CV/CGV,open,Y,Y,0,17532,1,0.83600762,25,23,89814.222,76363.222
wo3,0,wo,3,onsetless,CV,CV,CV,CV/CGV,open,N,N,17492,17532,1,0.83600762,25,23,89814.222,76363.222
wo4,0,wo,4,onsetless,CV,CV,CV,CV/CGV,open,N,N,32,17532,1,0.83600762,25,23,89814.222,76363.222
wu1,0,wu,1,onsetless,CV,CV,CV,CV/CGV,open,N,N,87,1740,0,0.672125167,26,24,103268.577,108221.208
wu2,0,wu,2,onsetless,CV,CV,CV,CV/CGV,open,N,N,319,1740,0,0.672125167,26,24,103268.577,108221.208
wu3,0,wu,3,onsetless,CV,CV,CV,CV/CGV,open,N,N,841,1740,0,0.672125167,26,24,103268.577,108221.208
wu4,0,wu,4,onsetless,CV,CV,CV,CV/CGV,open,N,N,493,1740,0,0.672125167,26,24,103268.577,108221.208
ya1,0,ya,1,onsetless,CV,CV,CV,CV/CGV,open,N,N,176,352,0,0.125925556,45,43,285290.613,285794.552
ya2,0,ya,2,onsetless,CV,CV,CV,CV/CGV,open,N,N,28,352,0,0.125925556,45,43,285290.613,285794.552
ya3,0,ya,3,onsetless,CV,CV,CV,CV/CGV,open,N,N,131,352,0,0.125925556,45,43,285290.613,285794.552
ya4,0,ya,4,onsetless,CV,CV,CV,CV/CGV,open,N,N,17,352,0,0.125925556,45,43,285290.613,285794.552
ye1,0,ye,1,onsetless,CV,CV,CV,CV/CGV,open,N,N,17,4929,0,0.743817102,28,25,320003.889,253194.025
ye2,0,ye,2,onsetless,CV,CV,CV,CV/CGV,open,N,N,19,4929,0,0.743817102,28,25,320003.889,253194.025
ye3,0,ye,3,onsetless,CV,CV,CV,CV/CGV,open,N,N,4124,4929,0,0.743817102,28,25,320003.889,253194.025
ye4,0,ye,4,onsetless,CV,CV,CV,CV/CGV,open,N,N,769,4929,0,0.743817102,28,25,320003.889,253194.025
yi1,0,yi,1,onsetless,CV,CV,CV,CV/CGV,open,N,N,6799,19404,0,3.043959901,24,21,102050.75,86864.381
yi2,0,yi,2,onsetless,CV,CV,CV,CV/CGV,open,N,N,2234,19404,0,3.043959901,24,21,102050.75,86864.381
yi3,0,yi,3,onsetless,CV,CV,CV,CV/CGV,open,N,N,6361,19404,0,3.043959901,24,21,102050.75,86864.381
yi4,0,yi,4,onsetless,CV,CV,CV,CV/CGV,open,N,N,4010,19404,0,3.043959901,24,21,102050.75,86864.381
yu1,0,yu,1,onsetless,CV,CV,CV,CV/CGV,open,Y,N,0,1546,1,1.058478315,14,13,16559.857,17828.615
yu2,0,yu,2,onsetless,CV,CV,CV,CV/CGV,open,N,N,565,1546,1,1.058478315,14,13,16559.857,17828.615
yu3,0,yu,3,onsetless,CV,CV,CV,CV/CGV,open,N,N,475,1546,1,1.058478315,14,13,16559.857,17828.615
yu4,0,yu,4,onsetless,CV,CV,CV,CV/CGV,open,N,N,506,1546,1,1.058478315,14,13,16559.857,17828.615
yue1,0,yue,1,onsetless,CV,CV,CV,CV/CGV,open,N,N,66,744,2,0.271871749,17,17,65945.618,65945.618
yue2,0,yue,2,onsetless,CV,CV,CV,CV/CGV,open,Y,Y,0,744,2,0.271871749,17,17,65945.618,65945.618
yue3,0,yue,3,onsetless,CV,CV,CV,CV/CGV,open,Y,Y,0,744,2,0.271871749,17,17,65945.618,65945.618
yue4,0,yue,4,onsetless,CV,CV,CV,CV/CGV,open,N,N,678,744,2,0.271871749,17,17,65945.618,65945.618
ai1,0,ai,1,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,29,328,1,0.123283576,20,26,50026.8,189074.193
ai2,0,ai,2,onsetless,V,VG,CVG,CVG/CGVG,open,Y,N,0,328,1,0.123283576,20,26,50026.8,189074.193
ai3,0,ai,3,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,1,328,1,0.123283576,20,26,50026.8,189074.193
ai4,0,ai,4,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,298,328,1,0.123283576,20,26,50026.8,189074.193
ao1,0,ao,1,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,0,89,2,0.031597557,19,25,52190.421,214579.611
ao2,0,ao,2,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,10,89,2,0.031597557,19,25,52190.421,214579.611
ao3,0,ao,3,onsetless,V,VG,CVG,CVG/CGVG,open,Y,N,0,89,2,0.031597557,19,25,52190.421,214579.611
ao4,0,ao,4,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,79,89,2,0.031597557,19,25,52190.421,214579.611
er1,0,er,1,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,243,364,0,0.669177832,15,13,44505.576,45062.556
er2,0,er,2,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,0,364,0,0.669177832,15,13,44505.576,45062.556
er3,0,er,3,onsetless,V,VG,CVG,CVG/CGVG,open,N,Y,0,364,0,0.669177832,15,13,44505.576,45062.556
er4,0,er,4,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,121,364,0,0.669177832,15,13,44505.576,45062.556
ou1,0,ou,1,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,89,130,2,0.03287208,19,19,38128.73684,42740.88889
ou2,0,ou,2,onsetless,V,VG,CVG,CVG/CGVG,open,Y,N,0,130,2,0.03287208,19,19,38128.73684,42740.88889
ou3,0,ou,3,onsetless,V,VG,CVG,CVG/CGVG,open,N,N,41,130,2,0.03287208,19,19,38128.73684,42740.88889
ou4,0,ou,4,onsetless,V,VG,CVG,CVG/CGVG,open,Y,N,0,130,2,0.03287208,19,19,38128.73684,42740.88889
wai1,0,wai,1,onsetless,CV,CVG,CVG,CVG/CGVG,open,N,N,3,817,2,0.204826513,46,43,155968.469,84663.793
wai2,0,wai,2,onsetless,CV,CVG,CVG,CVG/CGVG,open,Y,Y,0,817,2,0.204826513,46,43,155968.469,84663.793
wai3,0,wai,3,onsetless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,817,2,0.204826513,46,43,155968.469,84663.793
wai4,0,wai,4,onsetless,CV,CVG,CVG,CVG/CGVG,open,N,N,814,817,2,0.204826513,46,43,155968.469,84663.793
wei1,0,wei,1,onsetless,CV,CVG,CVG,CVG/CGVG,open,N,N,40,5283,0,1.156470569,42,37,175506.59,73251.605
