trials.thisRepN,resp_Q.corr,Participant,Group,targetOnset.rt,FreqBNCSpoken.log
1,1,572187,L2,0.3410851,3.135494216
0,1,864280,L2,0.528337,3.135494216
0,1,306328,L2,0.7029527,3.135494216
0,1,85913,L2,0.6761574,3.135494216
1,0,843976,L2,0.4876685,3.135494216
1,1,85913,L2,0.6484855,3.135494216
0,0,752128,L2,0.4874159,3.135494216
0,1,373596,L2,0.636636,3.135494216
1,1,648557,L2,0.5356996,3.135494216
1,1,147512,L2,0.5229145,3.135494216
1,1,447513,L2,0.8379494,3.135494216
1,1,922683,L2,0.5241775,3.135494216
0,1,843976,L2,0.6391597,3.135494216
0,1,911462,L2,0.4920102,3.135494216
0,0,108486,L2,0.666688,3.135494216
0,1,607827,L2,1.0101841,3.135494216
1,1,767065,L2,0.3841495,3.135494216
0,1,998663,L2,0.6389338,3.135494216
0,1,154393,L2,0.5343586,3.135494216
1,1,959490,L2,0.371025,3.135494216
1,0,452163,L2,0.5715044,3.135494216
1,0,501349,L2,0.3735327,3.135494216
0,1,316397,L2,0.7078746,3.135494216
1,1,998663,L2,0.4649707,3.135494216
0,1,447513,L2,0.6913601,3.135494216
0,0,183117,L2,0.6097138,3.135494216
1,0,251621,L2,0.4594456,3.135494216
1,1,173085,L2,0.3447335,3.135494216
0,1,648557,L2,0.4734914,3.135494216
0,1,514305,L2,1.0565933,3.135494216
0,1,331100,L2,0.4262343,3.135494216
0,1,15711,L2,0.4023419,3.135494216
1,1,544005,L2,0.6840322,3.135494216
0,0,697259,L2,0.8886658,3.135494216
0,1,871398,L2,0.9318631,3.135494216
1,1,187490,L2,0.3073007,3.135494216
1,1,373596,L2,0.4205933,3.135494216
1,1,871398,L2,0.4967203,3.135494216
1,1,702640,L2,0.6098274,3.135494216
1,1,379265,L2,0.5012059,3.135494216
1,1,617211,L2,0.8186328,3.135494216
0,1,617211,L2,0.6259378,3.135494216
0,0,774770,L2,0.7613506,3.135494216
1,0,697259,L2,0.6940556,3.135494216
0,0,376188,L2,-0.8854702,3.135494216
1,1,697760,L2,0.5321908,3.135494216
1,1,911462,L2,0.5302344,3.135494216
0,0,716031,L2,0.6408161,3.135494216
1,1,631538,L2,0.3945818,3.135494216
0,0,917009,L2,0.3065279,3.135494216
1,1,917009,L2,1.1193325,3.135494216
1,0,248930,L2,-1.174449,3.135494216
1,1,735448,L2,0.3547882,3.135494216
1,1,154393,L2,0.4133896,3.135494216
0,1,631538,L2,0.6221166,3.135494216
0,0,69771,L2,0.6411522,3.135494216
1,1,672285,L2,0.5440959,3.135494216
1,1,376188,L2,0.7229197,3.135494216
0,1,672285,L2,0.5927343,3.135494216
1,1,159491,L2,0.3194358,3.135494216
1,1,717501,L2,0.6751429,3.135494216
1,1,316397,L2,0.7034822,3.135494216
0,1,702640,L2,1.231249,3.135494216
0,1,216249,L2,0.4869871,3.135494216
0,1,379265,L2,0.6311681,3.135494216
1,1,3121,L2,0.7614607,3.135494216
1,0,774770,L2,0.6950252,3.135494216
0,1,792988,L2,1.1293037,3.135494216
1,1,929015,L2,0.6196253,3.135494216
0,0,147512,L2,0.5844311,3.135494216
0,0,3121,L2,0.5400418,3.135494216
1,1,901980,L2,0.3792409,3.135494216
1,1,15711,L2,0.5203692,3.135494216
