ItemID,Judge_Resp.rt,Correct,participant,group
2,1.5826319,0,1,bl
9,1.9317673,1,1,bl
3,NA,None,1,bl
12,3.9302659,1,1,bl
4,0.5909845,0,1,bl
20,1.7897209,1,1,bl
21,1.2936203,1,1,bl
1,2.7976855,0,1,bl
7,NA,None,1,bl
5,2.1164611,1,1,bl
22,1.6705507,0,1,bl
25,0.8118281,1,1,bl
6,2.709806,1,1,bl
24,1.6018352,1,1,bl
11,2.7604094,1,1,bl
10,0.5151484,1,1,bl
18,3.1136761,0,1,bl
13,NA,None,1,bl
14,1.5750262,0,1,bl
23,2.5776046,1,1,bl
19,2.4090689,1,1,bl
28,3.0884417,1,1,bl
8,1.0225336,0,1,bl
29,2.6711572,0,1,bl
17,1.8744608,0,1,bl
30,1.3646186,1,1,bl
16,1.1790509,1,1,bl
27,0.4991603,0,1,bl
15,0.9510106,0,1,bl
26,0.5996807,0,1,bl
7,2.1199605,0,10,sm
29,3.0075355,0,10,sm
24,2.4428605,1,10,sm
23,0.6475473,1,10,sm
12,2.4935049,0,10,sm
25,0.7488954,0,10,sm
10,0.5814655,1,10,sm
8,1.8849639,0,10,sm
9,1.116098,1,10,sm
1,2.2979442,0,10,sm
13,1.7699155,1,10,sm
27,2.3974516,0,10,sm
30,0.5754552,1,10,sm
16,2.7108495,1,10,sm
15,2.3914514,0,10,sm
22,1.265004,0,10,sm
5,2.2699745,0,10,sm
28,2.0600813,0,10,sm
3,1.6408975,1,10,sm
19,2.2200791,0,10,sm
18,1.7489202,0,10,sm
6,1.3668946,1,10,sm
26,1.3368958,1,10,sm
20,1.2515553,1,10,sm
21,0.7100904,1,10,sm
14,2.2834836,1,10,sm
17,1.2914469,1,10,sm
11,1.8415515,1,10,sm
4,2.1495897,0,10,sm
2,0.6829046,1,10,sm
29,2.1940801,0,11,sm
19,3.7267225,0,11,sm
1,1.9927111,1,11,sm
5,3.1268273,1,11,sm
6,2.2200061,0,11,sm
12,3.204884,1,11,sm
22,NA,None,11,sm
23,2.5253037,0,11,sm
18,3.4900647,0,11,sm
2,3.1127755,1,11,sm
3,3.2800662,0,11,sm
11,2.3519512,1,11,sm
25,1.1659123,0,11,sm
26,3.1632884,0,11,sm
10,2.5640234,0,11,sm
21,1.9712792,1,11,sm
14,2.4607333,1,11,sm
15,3.2154106,1,11,sm
17,2.812776,1,11,sm
13,NA,None,11,sm
24,1.7759349,1,11,sm
9,1.6654083,0,11,sm
4,2.255447,1,11,sm
20,2.4008231,1,11,sm
30,2.3400198,1,11,sm
8,2.3473971,1,11,sm
27,3.3693886,0,11,sm
16,2.9160422,0,11,sm
7,1.2147461,1,11,sm
28,1.4669029,1,11,sm
1,0.6243215,1,12,bl
26,1.5235139,0,12,bl
24,2.0490216,1,12,bl
6,1.3690447,1,12,bl
18,1.0270006,1,12,bl
22,1.4670057,1,12,bl
2,0.8042489,1,12,bl
7,0.7311174,0,12,bl
10,1.7131263,1,12,bl
11,0.6834004,1,12,bl
25,0.6482498,0,12,bl
23,1.0681966,1,12,bl
12,0.5889383,0,12,bl
30,0.5435411,1,12,bl
15,0.3762813,1,12,bl
8,0.4691058,1,12,bl
3,0.6643139,0,12,bl
13,1.8333094,0,12,bl
29,0.5855037,0,12,bl
17,0.4409509,0,12,bl
14,0.4342598,1,12,bl
27,0.6354898,0,12,bl
20,0.5975878,0,12,bl
4,1.2222832,1,12,bl
19,0.6033952,1,12,bl
9,0.4063335,0,12,bl
21,1.4475037,1,12,bl
5,0.5581891,1,12,bl
16,0.3531085,1,12,bl
28,0.6602694,0,12,bl
9,1.1744399,0,13,bl
16,0.7644648,0,13,bl
26,0.6336677,1,13,bl
5,2.1295799,1,13,bl
23,0.665598,1,13,bl
1,1.6651051,1,13,bl
17,1.3636074,0,13,bl
14,0.8784283,1,13,bl
27,0.8263337,1,13,bl
24,0.7496851,0,13,bl
30,2.7577415,1,13,bl
4,1.6894506,0,13,bl
21,0.6656016,1,13,bl
13,0.5350912,0,13,bl
28,3.9645203,0,13,bl
2,2.5404376,1,13,bl
15,0.9965411,1,13,bl
8,NA,None,13,bl
7,2.277709,1,13,bl
3,0.9156965,1,13,bl
10,1.7623854,1,13,bl
11,0.9862578,1,13,bl
29,1.3735552,0,13,bl
6,2.9112135,0,13,bl
19,3.0330672,1,13,bl
12,NA,None,13,bl
22,2.0796683,1,13,bl
20,2.3676736,1,13,bl
18,0.8723857,1,13,bl
25,0.6257043,0,13,bl
1,1.7710644,0,14,sm
6,2.6356129,1,14,sm
7,1.1918407,1,14,sm
21,3.0796948,1,14,sm
25,3.1955922,1,14,sm
11,2.6582222,0,14,sm
28,2.4881852,0,14,sm
16,3.5837256,1,14,sm
20,3.4337924,0,14,sm
24,2.8862633,0,14,sm
3,2.8600915,0,14,sm
19,3.3217277,0,14,sm
10,2.1150615,1,14,sm
2,2.0271126,1,14,sm
5,2.494231,0,14,sm
23,3.0276873,1,14,sm
29,0.7657588,0,14,sm
13,2.2057427,1,14,sm
14,2.005773,1,14,sm
4,1.7291184,0,14,sm
18,2.5311514,1,14,sm
15,1.6658547,1,14,sm
9,2.3963451,0,14,sm
17,3.3503368,1,14,sm
8,0.6191405,1,14,sm
27,2.3843158,1,14,sm
22,2.2917077,0,14,sm
12,0.4191229,0,14,sm
30,1.2698209,1,14,sm
26,1.2817344,0,14,sm
1,2.2041239,0,15,sm
8,1.7232641,1,15,sm
27,1.9107001,1,15,sm
25,3.7108653,1,15,sm
24,1.453299,1,15,sm
10,1.2572818,1,15,sm
3,3.4873511,0,15,sm
19,3.4172101,1,15,sm
20,0.9207766,1,15,sm
14,3.9120153,1,15,sm
7,2.455797,0,15,sm
15,3.3714516,0,15,sm
26,2.1086384,0,15,sm
22,0.7732685,0,15,sm
4,2.0540323,1,15,sm
28,0.5502419,1,15,sm
13,0.8900736,0,15,sm
16,0.4986588,1,15,sm
9,3.0281041,0,15,sm
29,1.5966767,0,15,sm
5,NA,None,15,sm
23,2.9851772,1,15,sm
2,2.6186046,1,15,sm
17,2.3240729,1,15,sm
30,2.3080849,1,15,sm
18,2.2640086,0,15,sm
11,2.7599416,1,15,sm
6,3.0340161,0,15,sm
21,0.7913661,1,15,sm
12,0.6220741,0,15,sm
19,1.9204958,0,17,sm
11,0.9003382,1,17,sm
13,0.7056988,1,17,sm
18,2.2384635,1,17,sm
22,1.9833916,0,17,sm
15,1.9952359,1,17,sm
23,1.8833462,0,17,sm
6,0.7867048,1,17,sm
25,2.9225752,1,17,sm
26,1.226638,0,17,sm
21,2.7625625,1,17,sm
30,1.1586481,0,17,sm
14,1.7023909,1,17,sm
1,0.5625444,0,17,sm
2,1.6399395,1,17,sm
20,2.8545556,1,17,sm
4,1.8978046,0,17,sm
7,2.0250673,1,17,sm
12,2.983699,1,17,sm
27,1.6784904,0,17,sm
24,NA,None,17,sm
17,1.6356921,1,17,sm
10,2.0535608,0,17,sm
8,1.1219858,0,17,sm
3,0.6384991,1,17,sm
9,1.5090552,0,17,sm
28,2.7646959,0,17,sm
5,1.9245444,1,17,sm
16,3.3131599,0,17,sm
29,3.4565223,0,17,sm
14,0.5685935,1,18,sm
5,0.4793851,0,18,sm
22,1.2952632,0,18,sm
6,1.6924792,1,18,sm
23,0.4633466,1,18,sm
11,1.1718718,0,18,sm
18,0.5025435,1,18,sm
28,3.0920219,1,18,sm
10,1.930169,1,18,sm
3,0.3512831,0,18,sm
20,0.3213635,1,18,sm
1,0.9265387,1,18,sm
9,2.6322764,0,18,sm
29,1.2260259,0,18,sm
12,1.1102323,0,18,sm
4,0.3545118,0,18,sm
8,1.0403088,0,18,sm
2,0.0845613,1,18,sm
17,0.4494044,0,18,sm
19,0.4193467,0,18,sm
26,0.3293635,1,18,sm
25,0.6205405,0,18,sm
13,0.1973371,0,18,sm
21,0.8061853,0,18,sm
24,1.8807064,0,18,sm
30,0.2198732,0,18,sm
16,1.3860331,1,18,sm
15,1.137083,0,18,sm
27,0.1147212,1,18,sm
7,0.2973086,1,18,sm
8,0.2049517,0,19,bl
18,0.4224664,0,19,bl
27,0.5699389,1,19,bl
6,0.3944617,0,19,bl
29,0.7933791,1,19,bl
22,0.4552,0,19,bl
30,0.5011572,0,19,bl
25,0.3233063,1,19,bl
23,0.4517227,0,19,bl
9,0.3251968,1,19,bl
16,0.3403255,1,19,bl
4,0.4211784,0,19,bl
2,0.3184888,0,19,bl
3,0.6599321,1,19,bl
12,0.6823895,0,19,bl
14,0.2758107,0,19,bl
15,0.1922746,0,19,bl
24,0.3840848,0,19,bl
1,0.6392248,0,19,bl
20,0.5005464,0,19,bl
10,0.6612389,0,19,bl
11,0.4722973,0,19,bl
28,0.2599994,0,19,bl
17,1.0576598,1,19,bl
21,0.8190733,0,19,bl
26,0.5099515,0,19,bl
19,0.4844713,0,19,bl
5,0.6638352,0,19,bl
13,0.7771911,1,19,bl
7,1.1277446,1,19,bl
28,1.3674915,1,2,sm
7,1.0582184,0,2,sm
2,0.6429013,1,2,sm
16,0.8214069,0,2,sm
10,0.7980322,1,2,sm
11,0.8935374,0,2,sm
21,1.098918,0,2,sm
23,0.6655091,0,2,sm
24,0.4028656,0,2,sm
8,1.280867,1,2,sm
9,1.4102204,1,2,sm
25,1.5442855,1,2,sm
27,0.6061898,1,2,sm
22,0.3154439,1,2,sm
13,2.1169774,0,2,sm
18,0.3834718,0,2,sm
4,0.3181568,0,2,sm
6,0.5991461,0,2,sm
19,0.968313,1,2,sm
20,0.3853215,0,2,sm
30,0.3514221,0,2,sm
1,0.7280713,0,2,sm
12,0.2338252,1,2,sm
15,0.2955382,0,2,sm
5,0.3402104,0,2,sm
14,0.4620617,1,2,sm
3,0.3015487,1,2,sm
26,0.7401459,0,2,sm
29,0.2888468,1,2,sm
17,0.6316311,0,2,sm
29,1.2432601,0,20,sm
16,2.8313432,1,20,sm
9,3.8639682,1,20,sm
19,0.4119517,0,20,sm
28,2.8232249,0,20,sm
6,0.9362108,1,20,sm
1,0.4058029,0,20,sm
13,1.540317,0,20,sm
23,1.4903758,1,20,sm
27,0.3292794,0,20,sm
22,1.3202282,1,20,sm
25,0.8920214,1,20,sm
3,1.8098904,1,20,sm
17,1.264501,0,20,sm
15,1.7313009,0,20,sm
24,0.313848,0,20,sm
4,0.3433124,0,20,sm
12,1.2164999,1,20,sm
10,0.9080026,1,20,sm
14,2.6363297,1,20,sm
7,0.6054788,0,20,sm
18,0.864097,1,20,sm
2,2.2641552,1,20,sm
11,0.6199703,1,20,sm
8,0.5913253,1,20,sm
20,0.7578522,1,20,sm
21,2.0721705,1,20,sm
30,2.2140716,1,20,sm
26,1.8155053,0,20,sm
5,0.9078552,1,20,sm
5,0.8234533,1,21,sm
3,0.4527685,1,21,sm
6,1.0589314,1,21,sm
30,1.689596,0,21,sm
22,2.2216117,1,21,sm
17,3.1275956,0,21,sm
7,2.1380825,1,21,sm
29,NA,None,21,sm
26,0.6702101,1,21,sm
24,0.7644393,0,21,sm
10,0.7623363,1,21,sm
4,1.0425719,1,21,sm
16,1.5062958,0,21,sm
11,1.1425031,1,21,sm
25,0.3262727,0,21,sm
18,2.0406787,1,21,sm
19,2.2256224,1,21,sm
13,1.400481,0,21,sm
20,2.6459178,0,21,sm
28,1.7807168,1,21,sm
12,0.729525,0,21,sm
9,0.790281,1,21,sm
8,1.2988912,1,21,sm
1,0.9145015,1,21,sm
23,1.9546374,1,21,sm
27,0.8106142,0,21,sm
14,1.3043486,1,21,sm
15,0.389478,0,21,sm
2,0.5683126,1,21,sm
21,0.4934639,1,21,sm
13,2.558974,1,22,bl
7,1.2071567,0,22,bl
20,0.8978481,0,22,bl
17,0.395201,1,22,bl
16,2.5922441,1,22,bl
5,2.5944963,0,22,bl
22,2.129153,1,22,bl
12,2.6992769,0,22,bl
15,1.6097045,1,22,bl
30,2.5313436,0,22,bl
6,2.9571749,0,22,bl
2,2.1656411,0,22,bl
18,3.6099329,0,22,bl
11,1.6394246,0,22,bl
4,2.3424301,0,22,bl
25,NA,None,22,bl
10,0.8133691,0,22,bl
3,0.8251266,0,22,bl
14,0.7351352,0,22,bl
29,0.235629,0,22,bl
28,0.8235528,1,22,bl
9,1.2410694,0,22,bl
21,3.1571626,0,22,bl
24,2.2105562,0,22,bl
27,1.9771966,1,22,bl
19,0.7675858,1,22,bl
23,1.2034466,1,22,bl
26,0.7767895,0,22,bl
1,2.4585194,0,22,bl
8,0.5698273,0,22,bl
14,0.8239517,0,23,bl
18,0.4884958,0,23,bl
6,0.5442529,0,23,bl
7,0.7972529,0,23,bl
26,0.5133528,0,23,bl
5,1.6205218,0,23,bl
24,1.0613893,0,23,bl
27,0.4080394,1,23,bl
20,0.4665351,0,23,bl
17,0.4819654,1,23,bl
29,0.4100912,1,23,bl
13,0.4360418,1,23,bl
8,0.3393903,0,23,bl
22,0.3613682,0,23,bl
10,0.316805,0,23,bl
4,0.3365355,0,23,bl
16,0.4046107,1,23,bl
23,0.3712687,0,23,bl
9,0.4040023,1,23,bl
15,0.4034146,0,23,bl
30,0.3019842,0,23,bl
2,0.4224407,0,23,bl
11,0.2760798,0,23,bl
28,0.3045705,0,23,bl
19,0.2642412,0,23,bl
12,0.4622338,0,23,bl
3,0.3346492,1,23,bl
1,0.3606769,0,23,bl
21,0.2733784,0,23,bl
25,0.2865459,1,23,bl
7,NA,None,24,sm
12,1.4218275,0,24,sm
4,1.0487359,0,24,sm
2,1.1458706,1,24,sm
15,0.847907,0,24,sm
26,0.751566,1,24,sm
28,0.9008466,1,24,sm
5,1.8794545,1,24,sm
19,0.5818678,1,24,sm
13,1.6495891,0,24,sm
9,1.9294656,1,24,sm
14,1.5174947,0,24,sm
1,2.0199115,0,24,sm
25,1.2579635,0,24,sm
8,2.5288178,0,24,sm
30,1.9742044,1,24,sm
11,2.4838164,0,24,sm
17,2.8094719,0,24,sm
29,0.6368376,0,24,sm
16,2.1154924,0,24,sm
3,2.4223928,0,24,sm
20,2.9718807,1,24,sm
10,2.956871,1,24,sm
22,3.5039316,0,24,sm
23,2.6435473,1,24,sm
27,1.8908577,0,24,sm
6,2.661917,0,24,sm
24,2.7698375,0,24,sm
21,2.7694914,0,24,sm
18,1.5858367,0,24,sm
2,1.0474602,0,25,sm
29,0.9112989,0,25,sm
17,0.8429582,0,25,sm
5,0.9400552,1,25,sm
19,0.7114672,1,25,sm
10,1.0248837,0,25,sm
4,0.5740548,0,25,sm
25,0.4313024,0,25,sm
7,1.6662858,0,25,sm
18,0.7033019,1,25,sm
26,0.7573695,1,25,sm
14,0.7489244,1,25,sm
3,1.5409417,1,25,sm
23,1.7595587,1,25,sm
6,1.1689727,1,25,sm
28,0.6781508,1,25,sm
8,1.8567532,0,25,sm
12,2.0341126,1,25,sm
27,0.6604427,0,25,sm
15,0.4939038,1,25,sm
11,0.5661813,1,25,sm
13,2.3989467,1,25,sm
24,0.5641836,0,25,sm
21,1.7150164,1,25,sm
9,1.8542043,1,25,sm
1,1.1215147,1,25,sm
16,1.7113686,1,25,sm
20,1.4929551,1,25,sm
22,1.5059538,0,25,sm
30,1.9630474,0,25,sm
8,2.0879792,0,26,bl
19,2.3712388,0,26,bl
5,1.8639535,0,26,bl
9,2.4632905,1,26,bl
3,1.7661287,1,26,bl
21,1.9931331,0,26,bl
17,1.7113862,1,26,bl
18,2.4184704,0,26,bl
10,2.0359795,0,26,bl
25,3.032508,1,26,bl
11,2.7799811,0,26,bl
1,2.3133985,0,26,bl
26,1.6175919,0,26,bl
2,3.1124183,0,26,bl
28,1.7087999,0,26,bl
22,1.5700781,0,26,bl
20,2.5173439,0,26,bl
6,1.6804112,0,26,bl
29,2.6093722,1,26,bl
16,1.8620314,1,26,bl
30,2.5184205,0,26,bl
13,1.325935,1,26,bl
14,1.3006127,0,26,bl
24,1.9503414,0,26,bl
4,1.4055221,0,26,bl
23,2.2719649,0,26,bl
27,0.9981498,1,26,bl
12,2.3174406,0,26,bl
7,1.9684308,0,26,bl
15,1.7107207,0,26,bl
8,1.2444518,1,27,bl
29,1.7477448,1,27,bl
27,2.1499543,0,27,bl
25,1.1965515,0,27,bl
9,1.9813619,1,27,bl
21,1.9232761,1,27,bl
10,2.1043445,0,27,bl
28,1.6764993,0,27,bl
15,2.3591551,1,27,bl
11,1.2144981,1,27,bl
19,0.859305,0,27,bl
12,2.2683177,0,27,bl
3,2.9344232,1,27,bl
1,3.6250736,1,27,bl
24,1.0455793,0,27,bl
23,2.9531851,1,27,bl
18,3.1243591,0,27,bl
4,2.241517,0,27,bl
26,3.7835123,1,27,bl
16,0.8915907,1,27,bl
13,1.5551231,1,27,bl
6,0.8471458,0,27,bl
17,1.86573,0,27,bl
30,3.5797656,0,27,bl
22,3.148677,0,27,bl
7,2.7892262,1,27,bl
20,3.7733428,1,27,bl
5,2.8744964,1,27,bl
14,3.2085087,1,27,bl
2,1.2117386,1,27,bl
12,2.2374622,0,28,sm
20,2.2822337,1,28,sm
5,3.1728921,1,28,sm
8,0.9481745,0,28,sm
3,3.6029928,0,28,sm
11,NA,None,28,sm
18,1.2255651,1,28,sm
30,1.1774648,1,28,sm
1,0.5462994,1,28,sm
7,3.1770527,1,28,sm
10,0.4290046,1,28,sm
29,1.6657354,0,28,sm
19,1.0450409,0,28,sm
24,0.6114617,1,28,sm
17,1.5504961,0,28,sm
16,0.4623405,0,28,sm
2,1.1370089,1,28,sm
14,2.1689567,0,28,sm
15,2.8435561,1,28,sm
21,2.9035885,0,28,sm
4,0.3990704,0,28,sm
22,1.190985,1,28,sm
6,1.9396392,1,28,sm
9,1.1789283,0,28,sm
26,2.816525,1,28,sm
28,1.8401491,1,28,sm
23,0.595466,1,28,sm
27,0.5770336,0,28,sm
25,2.2630082,0,28,sm
13,0.8216117,0,28,sm
27,1.181829,0,29,sm
25,3.5536571,1,29,sm
9,3.7521087,1,29,sm
23,2.8870453,0,29,sm
6,1.6041361,1,29,sm
12,2.2649405,0,29,sm
11,3.4022666,1,29,sm
20,2.8536191,1,29,sm
3,2.8718552,0,29,sm
7,2.8318847,1,29,sm
30,2.5998002,1,29,sm
18,NA,None,29,sm
1,0.760048,0,29,sm
26,1.0416725,1,29,sm
2,1.985205,0,29,sm
4,1.9377569,0,29,sm
5,1.9659828,0,29,sm
13,2.4752306,0,29,sm
16,2.4109674,1,29,sm
10,1.4622438,1,29,sm
29,1.8313176,1,29,sm
28,1.4042132,1,29,sm
21,1.5959273,0,29,sm
15,0.9536755,0,29,sm
17,1.9177476,1,29,sm
19,1.4136344,0,29,sm
14,1.2896781,0,29,sm
22,1.0768758,1,29,sm
24,1.5618115,1,29,sm
8,2.1792398,0,29,sm
8,0.4842001,1,3,sm
9,2.4341271,1,3,sm
3,0.5657677,1,3,sm
15,0.0810484,0,3,sm
5,0.7957404,1,3,sm
20,0.9902484,0,3,sm
28,0.983705,0,3,sm
2,2.0589523,0,3,sm
10,1.9529276,1,3,sm
16,1.0861854,1,3,sm
29,0.3390837,1,3,sm
12,0.989756,0,3,sm
4,1.5441472,0,3,sm
24,0.1456394,0,3,sm
18,1.4251794,0,3,sm
19,0.8643153,0,3,sm
26,0.7839514,1,3,sm
21,3.107026,1,3,sm
23,3.5570342,1,3,sm
13,1.6337881,1,3,sm
14,1.6276549,1,3,sm
22,1.6095932,1,3,sm
1,2.0957252,0,3,sm
25,0.4871591,1,3,sm
11,0.5441844,1,3,sm
27,1.5390862,1,3,sm
6,2.4510465,1,3,sm
17,3.2350151,1,3,sm
7,0.8911485,0,3,sm
30,2.9984107,0,3,sm
12,1.725492,0,30,bl
25,1.3063291,0,30,bl
28,0.8089104,1,30,bl
9,1.7646294,0,30,bl
11,0.4635278,1,30,bl
30,0.7687883,0,30,bl
29,1.6623305,0,30,bl
19,1.1423154,0,30,bl
18,0.9623461,0,30,bl
5,1.0349239,0,30,bl
22,0.5648756,0,30,bl
20,1.0703358,0,30,bl
17,1.2068812,1,30,bl
27,1.9849829,0,30,bl
24,1.4696146,0,30,bl
8,1.4903403,1,30,bl
1,0.5628515,0,30,bl
14,0.4796242,0,30,bl
23,0.8518253,0,30,bl
3,0.842364,1,30,bl
16,1.1490017,1,30,bl
15,1.4268824,1,30,bl
2,1.7403808,0,30,bl
7,0.4174467,0,30,bl
21,1.08034,1,30,bl
13,1.9196622,0,30,bl
6,2.8904492,1,30,bl
26,3.1054239,0,30,bl
4,0.3569087,0,30,bl
10,1.1215895,0,30,bl
14,0.9343303,0,31,bl
13,0.479004,0,31,bl
9,0.4063808,0,31,bl
15,1.0883082,0,31,bl
1,0.3950329,0,31,bl
23,0.5726715,1,31,bl
17,0.8634047,1,31,bl
6,0.5396639,1,31,bl
10,1.5255604,1,31,bl
25,1.2416704,0,31,bl
19,1.3422387,1,31,bl
21,1.4408367,1,31,bl
8,0.9803498,1,31,bl
30,1.049138,1,31,bl
27,0.957487,0,31,bl
22,1.0954534,0,31,bl
4,0.9354071,1,31,bl
29,0.6748383,0,31,bl
24,1.0634974,1,31,bl
7,0.4554619,1,31,bl
12,0.806428,1,31,bl
3,0.4832459,0,31,bl
16,0.4775769,1,31,bl
26,0.4005261,1,31,bl
20,0.7521822,0,31,bl
11,0.717319,1,31,bl
2,1.3375279,1,31,bl
18,0.616893,0,31,bl
5,0.4582942,0,31,bl
28,0.8868977,1,31,bl
17,0.6136895,0,32,sm
12,0.6619824,0,32,sm
16,0.6598756,1,32,sm
22,2.3896506,1,32,sm
19,0.5480319,1,32,sm
9,0.4856211,1,32,sm
15,0.4109506,0,32,sm
13,0.6869687,1,32,sm
14,0.9839563,0,32,sm
23,1.8739556,1,32,sm
3,1.4150354,1,32,sm
18,2.2909849,0,32,sm
29,2.1280747,0,32,sm
10,1.8029705,1,32,sm
4,0.7860684,0,32,sm
28,0.6382467,0,32,sm
7,1.0389897,0,32,sm
5,0.4389994,0,32,sm
26,0.3719925,1,32,sm
8,1.4316741,0,32,sm
1,0.5120855,1,32,sm
21,0.4969719,1,32,sm
27,1.409572,1,32,sm
6,0.4851473,0,32,sm
25,0.8196699,0,32,sm
11,0.5980342,1,32,sm
24,1.039686,0,32,sm
20,1.3199886,1,32,sm
2,1.2935722,1,32,sm
30,2.0616852,0,32,sm
1,1.3017956,0,33,sm
7,1.4665933,1,33,sm
20,1.4629171,1,33,sm
15,1.3177931,0,33,sm
14,1.0427068,1,33,sm
21,1.9223321,0,33,sm
11,2.6528863,0,33,sm
16,1.7782404,0,33,sm
30,1.66232,1,33,sm
9,2.9677705,1,33,sm
3,3.73955,1,33,sm
25,0.4945642,1,33,sm
24,0.8268662,1,33,sm
13,1.6129356,0,33,sm
4,3.1422654,0,33,sm
18,1.3824659,1,33,sm
28,1.4509154,1,33,sm
22,2.9326307,1,33,sm
23,0.7949469,1,33,sm
8,3.0275665,1,33,sm
2,3.3088563,1,33,sm
10,1.4796704,1,33,sm
26,2.0168652,0,33,sm
27,1.5457436,0,33,sm
5,NA,None,33,sm
6,3.0603639,1,33,sm
17,2.0215789,1,33,sm
19,1.6095839,0,33,sm
12,3.5575156,0,33,sm
29,3.4865075,1,33,sm
27,0.5150555,0,35,bl
26,0.4054441,0,35,bl
24,0.5443934,1,35,bl
16,0.4634916,1,35,bl
12,0.3534705,0,35,bl
8,0.3563539,0,35,bl
22,0.3704282,0,35,bl
23,0.3056412,1,35,bl
17,0.3312003,0,35,bl
15,0.4291221,1,35,bl
18,0.8312396,0,35,bl
10,1.2428973,0,35,bl
11,0.3522278,1,35,bl
29,0.9994008,0,35,bl
28,1.1591871,1,35,bl
30,0.4291111,1,35,bl
1,0.4470525,0,35,bl
5,0.5515006,1,35,bl
14,0.3730181,1,35,bl
25,0.3854374,0,35,bl
20,0.3734588,1,35,bl
4,0.3542908,1,35,bl
19,0.3502497,1,35,bl
7,0.3734589,0,35,bl
9,0.3775059,1,35,bl
21,0.4124266,1,35,bl
